route,ridership.x,ridership.y,ridership,total_trips
0,1653,336,2727,4716
0L,284,36,342,662
1,358,84,668,1110
10,775,154,1187,2116
100,306,38,254,598
101D,2700,251,1662,4613
101E,4240,322,2203,6765
101H,1566,132,942,2640
103W,1766,226,1316,3308
104L,198,29,137,364
105,1312,242,1780,3334
107R,1032,98,560,1690
109L,98,41,269,408
11,1314,268,2065,3647
112,165,26,168,359
113B,112,22,78,212
113G,681,60,402,1143
116X,45,6,28,79
117N,812,78,499,1389
12,1982,294,2082,4358
120E,149,24,132,305
120L,155,26,175,356
120W,212,52,247,511
120X,357,39,163,559
121,1762,278,1947,3987
130,726,206,1245,2177
133,643,140,872,1655
135,270,46,264,580
139,123,18,145,286
14,622,122,948,1692
15,2244,612,4393,7249
153,1492,306,1588,3386
15L,2660,524,3383,6567
16,1980,412,2352,4744
169,128,25,163,316
169L,79,12,90,181
19,577,120,722,1419
20,888,186,1234,2308
21,1595,218,1840,3653
24,764,74,609,1447
28,285,50,275,610
29,54,3,50,107
3,1230,207,1413,2850
30,65,14,142,221
31,2010,246,1822,4078
32,134,20,110,264
34,352,52,379,783
35,790,157,1086,2033
36,121,24,156,301
37,328,40,226,594
38,860,229,1436,2525
3L,218,46,328,592
4,298,43,304,645
40,1494,200,1468,3162
402L,211,47,176,434
42,1456,331,2112,3899
43,591,109,837,1537
44,700,125,858,1683
45,533,120,691,1344
46,738,200,1380,2318
48,524,83,545,1152
483,315,86,365,766
49,135,25,188,348
51,1146,132,1114,2392
52,1065,257,1762,3084
520,168,136,883,1187
59,152,23,152,327
6,1502,248,1868,3618
65,1181,220,1720,3121
66,220,32,130,382
72,156,30,196,382
73,482,86,624,1192
76,1177,208,1466,2851
8,336,72,448,856
83D,1310,198,1672,3180
83L,1054,232,1722,3008
88,524,140,856,1520
88L,156,36,170,362
9,364,74,424,862
92,521,56,474,1051
93L,166,32,257,455
99,620,130,740,1490
A,2427,196,1264,3887
AB1,4,0,0,4
AT,92,2,26,120
CV,32,0,4,36
EV,1,0,0,1
FF1,690,72,306,1068
FF5,10,0,2,12
LD1,42,6,22,70
MALL,328,52,230,610
P,25,28,129,182
RX,63,6,39,108
TRLY,30,0,11,41
