GEOID,car_access,transit_access,ratio
08001008801,128757,1428,0.011090659148628812
08001007801,477951,1542,0.0032262721492370555
08059012039,48495,283,0.0058356531601195995
08031004103,687301,331,4.8159394501099225e-4
08031004201,684950,1074,0.0015679976640630704
08005087000,367595,5659,0.015394659883839552
08031004002,640571,447,6.978149182526215e-4
08005082400,365909,480,0.0013118015681494578
08005005635,271834,1108,0.00407601698095161
08059010210,100561,320,0.0031821481488847566
08059011805,529587,2897,0.00547030044166492
08031002703,756339,21416,0.028315345367619545
08005085000,281628,1598,0.005674151717868962
08005007704,252018,144,5.713877580172845e-4
08005084200,146550,953,0.0065029000341180485
08005084000,217908,518,0.0023771499899039963
08059012049,79052,259,0.0032763244446693315
08031004503,515668,184,3.5681872832907995e-4
08005006601,313478,1237,0.003946050440541282
08005083400,124976,615,0.00492094482140571
08059009832,275634,1843,0.006686402983666746
08059011701,252929,3916,0.015482605790557824
08059010604,415049,1420,0.0034212827882972854
08005081100,368199,5067,0.013761580015154849
08014031000,97216,620,0.006377551020408163
08001008546,85107,267,0.0031372272551024004
08005080200,433192,2463,0.005685700566954145
08031015400,544050,2204,0.0040510982446466315
08031002802,801361,9942,0.012406393622849128
08031008391,66145,74,0.0011187542520220727
08031004202,666369,1058,0.001587708912029221
08001008100,285383,27196,0.0952964962874453
08059011730,103814,156,0.0015026874987959236
08001008508,98239,1000,0.010179256710674987
08014030400,52068,290,0.005569639701928248
08005005631,228823,539,0.002355532442105907
08005083000,26650,149,0.005590994371482177
08031002402,702971,6175,0.00878414614543132
08005006711,361161,1667,0.004615670019741888
08001008526,115613,7443,0.06437857334382811
08001009325,152074,3689,0.024257927061825165
08031001102,806437,4981,0.006176551919120775
08001009327,173824,57,3.2791789396170837e-4
08005084500,220686,547,0.0024786348023889144
08031980100,253081,12508,0.0494229120321162
08005084100,138339,314,0.002269786538864673
08035014113,212182,281,0.0013243347692075671
08031004405,387229,11694,0.030199184461907554
08005085400,87033,785,0.009019567290567946
08005080300,550026,7761,0.014110242061284375
08031006813,369208,5693,0.015419492535373015
08031015500,787864,6914,0.008775626250215773
08059011602,556662,1856,0.0033341596875662433
08031004506,596114,889,0.0014913254847227209
08031005300,816064,22180,0.027179240843855385
08093000400,131,131,1
08093000200,0,213,Inf
08031001902,749854,6343,0.00845898001477621
08031008305,140220,47,3.351875624019398e-4
08001009306,393533,466,0.001184144658770675
08059011550,582285,2670,0.004585383446250547
08059011951,69085,105,0.001519866830715785
08031001901,754096,6049,0.008021525110861216
08031012001,170120,182,0.0010698330590171643
08031003003,806059,704,8.733851988502083e-4
08031005102,732062,1472,0.0020107586515896196
08001009309,364143,282,7.744210378889612e-4
08035014110,173736,931,0.005358705161854768
08001008549,95474,77,8.065022938182123e-4
08005005800,615205,1379,0.002241529246348778
08059011401,614963,1382,0.002247289674338131
08031004304,617925,3711,0.006005583201844884
08031004303,771913,1112,0.001440576852572764
08059010504,169226,795,0.004697859666954251
08059011202,530378,2765,0.005213262993563081
08059010701,431622,715,0.0016565420669011311
08059012054,102206,3951,0.03865722168952899
08005005628,330806,1754,0.005302201290182161
08005005700,717763,4034,0.005620239549823549
08005006200,314311,3077,0.009789666922252164
08005006708,290191,1298,0.004472916113869831
08005007703,403392,920,0.0022806600031730923
08001009501,416348,1000,0.0024018369248801482
08001009607,204883,5695,0.027796352064348922
08035014300,0,109,Inf
08059012047,76225,324,0.004250573958674975
08005006502,187405,3722,0.019860729436247698
08031004504,513458,149,2.9018926572377875e-4
08031008306,253995,260,0.0010236421976810568
08001009502,216395,2490,0.011506735368192425
08031001401,640848,15718,0.024526876888123238
08014980100,73774,0,0
08005085700,163922,805,0.004910872244116104
08005006712,495357,28228,0.05698516423508702
08059011300,520516,730,0.0014024544874701257
08059012059,83448,348,0.004170261719873454
08005081500,244758,1463,0.005977332712311753
08031002701,764114,51037,0.06679238961725606
08031004700,269655,741,0.00274795572119931
08005006100,586125,590,0.0010066112177436553
08005080500,435281,2047,0.004702709284347352
08059010212,195580,2320,0.011862153594437059
08031003601,688921,631,9.159250480098589e-4
08001009326,23204,357,0.015385278400275815
08001009603,277317,1978,0.00713263160931353
08005005614,296791,974,0.0032817706736390255
08001007802,407424,726,0.0017819274269557021
08059012060,58405,103,0.0017635476414690522
08005006858,627555,24441,0.0389463871692521
08001009101,149528,349,0.0023340110213471723
08031007037,398880,1223,0.003066085038106699
08005084800,95893,78,8.134066094501163e-4
08005082800,180520,612,0.003390206071349435
08001008709,525667,15401,0.0292980156639089
08035014124,74085,374,0.005048255382331106
08001008524,104182,675,0.006479046284386938
08031001302,734080,2031,0.0027667284219703575
08014030000,118689,703,0.005923042573448256
08059009847,1560,904,0.5794871794871795
08005082700,199165,432,0.0021690558079983935
08001009410,136413,292,0.002140558451174008
08001009604,231867,3474,0.014982727166867212
08031002403,680972,3315,0.004868041564117174
08001008548,48634,95,0.0019533659579717894
08001009408,117585,2116,0.017995492622358295
08014030800,93720,1097,0.011705078958600085
08031000303,731950,1840,0.0025138329120841588
08005087100,355820,4131,0.011609802709235006
08059011723,189910,2378,0.012521720815122954
08035014129,68174,215,0.0031536949570217386
08001008200,201895,3926,0.019445751504494912
08001009608,303347,1212,0.003995424381978394
08059012044,32804,1349,0.041123033776368736
08059011729,108416,1308,0.012064639905548997
08031004004,731690,343,4.6877776107367877e-4
08031000102,628035,2207,0.0035141353586981617
08005007201,433062,974,0.002249100590677547
08031004301,677536,50517,0.07455987578519813
08005006713,405581,6207,0.01530397133988032
08059011804,209141,821,0.003925581306391382
08005085600,181496,232,0.001278265085731917
08005007301,338867,934,0.002756243599996459
08014030300,104879,2875,0.027412542072292833
08059012051,90854,960,0.01056640324036366
08005007600,331055,1852,0.005594236607210282
08035014114,239185,2931,0.012254112925141628
08059009831,172145,3201,0.018594789276482036
08005086900,469963,1820,0.003872645293352881
08001009409,121333,566,0.004664847980351595
08059012052,74467,488,0.006553238347187345
08031005001,607897,1538,0.0025300338708695714
08001009207,178953,1560,0.008717372717976228
08019014700,647,647,1
08031002901,878933,6869,0.007815157696889296
08031000905,753851,295,3.9132401495786304e-4
08059011720,23,1520,66.08695652173913
08031001800,845572,26653,0.03152067476217282
08031001600,696250,15275,0.021938958707360862
08059009833,135267,1654,0.01222766824133011
08001009606,378069,610,0.0016134620928983862
08059010306,138957,1554,0.01118331570197975
08059980000,3169,3169,1
08059010902,360382,5625,0.015608437713315316
08001008706,188270,675,0.0035852764646518297
08031006811,444188,4834,0.01088277936369285
08031000701,702362,1876,0.0026709873256241085
08031003402,837330,1078,0.0012874255072671467
08031003702,719634,4420,0.006142011077853464
08031000401,713181,620,8.693445282473874e-4
08059012042,46322,594,0.012823280514658262
