from_id,percentile,cutoff,accessibility
08001008801,50,15,128757
08001007801,50,15,477951
08059012039,50,15,48495
08031004103,50,15,687301
08031004201,50,15,684950
08005087000,50,15,367595
08031004002,50,15,640571
08005082400,50,15,365909
08005005635,50,15,271834
08059010210,50,15,100561
08059011805,50,15,529587
08031002703,50,15,756339
08005085000,50,15,281628
08005007704,50,15,252018
08005084200,50,15,146550
08005084000,50,15,217908
08059012049,50,15,79052
08031004503,50,15,515668
08005006601,50,15,313478
08005083400,50,15,124976
08059009832,50,15,275634
08059011701,50,15,252929
08059010604,50,15,415049
08005081100,50,15,368199
08014031000,50,15,97216
08001008546,50,15,85107
08005080200,50,15,433192
08031015400,50,15,544050
08031002802,50,15,801361
08031008391,50,15,66145
08031004202,50,15,666369
08001008100,50,15,285383
08059011730,50,15,103814
08001008508,50,15,98239
08014030400,50,15,52068
08005005631,50,15,228823
08005083000,50,15,26650
08031002402,50,15,702971
08005006711,50,15,361161
08001008526,50,15,115613
08001009325,50,15,152074
08031001102,50,15,806437
08001009327,50,15,173824
08005084500,50,15,220686
08031980100,50,15,253081
08005084100,50,15,138339
08035014113,50,15,212182
08031004405,50,15,387229
08005085400,50,15,87033
08005080300,50,15,550026
08031006813,50,15,369208
08031015500,50,15,787864
08059011602,50,15,556662
08031004506,50,15,596114
08031005300,50,15,816064
08093000400,50,15,131
08093000200,50,15,0
08031001902,50,15,749854
08031008305,50,15,140220
08001009306,50,15,393533
08059011550,50,15,582285
08059011951,50,15,69085
08031001901,50,15,754096
08031012001,50,15,170120
08031003003,50,15,806059
08031005102,50,15,732062
08001009309,50,15,364143
08035014110,50,15,173736
08001008549,50,15,95474
08005005800,50,15,615205
08059011401,50,15,614963
08031004304,50,15,617925
08031004303,50,15,771913
08059010504,50,15,169226
08059011202,50,15,530378
08059010701,50,15,431622
08059012054,50,15,102206
08005005628,50,15,330806
08005005700,50,15,717763
08005006200,50,15,314311
08005006708,50,15,290191
08005007703,50,15,403392
08001009501,50,15,416348
08001009607,50,15,204883
08035014300,50,15,0
08059012047,50,15,76225
08005006502,50,15,187405
08031004504,50,15,513458
08031008306,50,15,253995
08001009502,50,15,216395
08031001401,50,15,640848
08014980100,50,15,73774
08005085700,50,15,163922
08005006712,50,15,495357
08059011300,50,15,520516
08059012059,50,15,83448
08005081500,50,15,244758
08031002701,50,15,764114
08031004700,50,15,269655
08005006100,50,15,586125
08005080500,50,15,435281
08059010212,50,15,195580
08031003601,50,15,688921
08001009326,50,15,23204
08001009603,50,15,277317
08005005614,50,15,296791
08001007802,50,15,407424
08059012060,50,15,58405
08005006858,50,15,627555
08001009101,50,15,149528
08031007037,50,15,398880
08005084800,50,15,95893
08005082800,50,15,180520
08001008709,50,15,525667
08035014124,50,15,74085
08001008524,50,15,104182
08031001302,50,15,734080
08014030000,50,15,118689
08059009847,50,15,1560
08005082700,50,15,199165
08001009410,50,15,136413
08001009604,50,15,231867
08031002403,50,15,680972
08001008548,50,15,48634
08001009408,50,15,117585
08014030800,50,15,93720
08031000303,50,15,731950
08005087100,50,15,355820
08059011723,50,15,189910
08035014129,50,15,68174
08001008200,50,15,201895
08001009608,50,15,303347
08059012044,50,15,32804
08059011729,50,15,108416
08031004004,50,15,731690
08031000102,50,15,628035
08005007201,50,15,433062
08031004301,50,15,677536
08005006713,50,15,405581
08059011804,50,15,209141
08005085600,50,15,181496
08005007301,50,15,338867
08014030300,50,15,104879
08059012051,50,15,90854
08005007600,50,15,331055
08035014114,50,15,239185
08059009831,50,15,172145
08005086900,50,15,469963
08001009409,50,15,121333
08059012052,50,15,74467
08031005001,50,15,607897
08001009207,50,15,178953
08019014700,50,15,647
08031002901,50,15,878933
08031000905,50,15,753851
08059011720,50,15,23
08031001800,50,15,845572
08031001600,50,15,696250
08059009833,50,15,135267
08001009606,50,15,378069
08059010306,50,15,138957
08059980000,50,15,3169
08059010902,50,15,360382
08001008706,50,15,188270
08031006811,50,15,444188
08031000701,50,15,702362
08031003402,50,15,837330
08031003702,50,15,719634
08031000401,50,15,713181
08059012042,50,15,46322
08005005626,50,15,287113
08005086200,50,15,55511
08005004951,50,15,582497
08035014115,50,15,197106
08031002601,50,15,704473
08019014900,50,15,1979
08031000702,50,15,782082
08059010901,50,15,148067
08031004505,50,15,641062
08001008544,50,15,58893
08001009752,50,15,483745
08059012058,50,15,1
08031000202,50,15,706610
08059011708,50,15,269959
08059010303,50,15,148209
08031005104,50,15,802496
08005006815,50,15,449821
08031000502,50,15,702775
08031005502,50,15,206151
08031003703,50,15,745176
08001009203,50,15,365623
08031008312,50,15,203419
08014031100,50,15,49692
08005006704,50,15,332886
08031007089,50,15,387527
08035014139,50,15,126470
08005082000,50,15,208092
08035014130,50,15,87715
08035014127,50,15,26196
08059010702,50,15,531759
08059012055,50,15,79864
08005087300,50,15,411329
08001009308,50,15,434873
08031008390,50,15,137560
08093000500,50,15,278
08059010100,50,15,124380
08059010208,50,15,186827
08039961206,50,15,838
08059012036,50,15,7122
08005085900,50,15,49777
08035014203,50,15,1007
08031004801,50,15,214395
08005005627,50,15,249951
08059011728,50,15,143395
08005005633,50,15,135413
08005083700,50,15,304469
08059011711,50,15,137715
08059009834,50,15,101381
08005006604,50,15,199392
08005005620,50,15,155433
08005083500,50,15,293359
08001009319,50,15,216900
08001008507,50,15,123068
08014030100,50,15,103703
08005081200,50,15,362301
08001008705,50,15,344284
08005005611,50,15,224562
08031012014,50,15,111551
08059012037,50,15,568
08005005623,50,15,119779
08005005553,50,15,247638
08005086300,50,15,241142
08001009307,50,15,469904
08001009401,50,15,253380
08031004306,50,15,674031
08031003201,50,15,674067
08031004403,50,15,577583
08031005200,50,15,619576
08005007104,50,15,162971
08005007101,50,15,585
08005006709,50,15,298262
08001008901,50,15,286343
08035014406,50,15,4237
08031004603,50,15,312412
08035014123,50,15,7947
08005005629,50,15,191774
08031008387,50,15,160089
08005084400,50,15,92876
08001008309,50,15,198795
08059010406,50,15,259471
08035014007,50,15,316120
08035013907,50,15,92092
08005081000,50,15,206054
08001008402,50,15,626
08059012030,50,15,633
08031001402,50,15,506740
08031001403,50,15,637454
08014030500,50,15,116430
08059010205,50,15,101416
08059012032,50,15,815
08059011803,50,15,325373
08059060500,50,15,36441
08059009848,50,15,1390
08059012035,50,15,194
08005082300,50,15,322060
08005082200,50,15,246870
08059011732,50,15,218266
08001008543,50,15,14205
08031001301,50,15,692630
08005006501,50,15,311794
08031000903,50,15,734886
08005080600,50,15,328653
08031006810,50,15,513914
08001060200,50,15,139775
08001008604,50,15,15917
08001009316,50,15,205296
08005007106,50,15,119
08005082100,50,15,287217
08059011726,50,15,31782
08005081800,50,15,302722
08005082900,50,15,240818
08035014116,50,15,201105
08031004003,50,15,742957
08035014137,50,15,100650
08031003602,50,15,754307
08035014013,50,15,7916
08035014134,50,15,46830
08001008533,50,15,107375
08005006000,50,15,467245
08001009406,50,15,201103
08001015000,50,15,354966
08001009323,50,15,132847
08031007006,50,15,269
08031004102,50,15,586085
08059012026,50,15,495
08031003203,50,15,760777
08059010304,50,15,153838
08005081300,50,15,324645
08059010403,50,15,266259
08005083100,50,15,183753
08059009840,50,15,79279
08001009321,50,15,152915
08059010000,50,15,45830
08031015700,50,15,213987
08059009843,50,15,1901
08005005625,50,15,218044
08005006400,50,15,333577
08035014202,50,15,560
08014031300,50,15,45664
08059012045,50,15,42653
08031002000,50,15,807743
08005081600,50,15,375417
08035013910,50,15,12839
08059009806,50,15,115353
08059009815,50,15,94276
08001009104,50,15,191358
08059011710,50,15,187576
08001009202,50,15,217878
08001009206,50,15,169743
08059012027,50,15,640
08059009835,50,15,95265
08031011903,50,15,145250
08001008540,50,15,34128
08035014005,50,15,191679
08005086400,50,15,131888
08031000201,50,15,598766
08059010402,50,15,320014
08019014800,50,15,934
08031005503,50,15,150457
08014030200,50,15,123514
08005007105,50,15,12
08031004106,50,15,232473
08031004107,50,15,158048
08005005634,50,15,93324
08059011727,50,15,162173
08059060300,50,15,106782
08035014125,50,15,9168
08059009827,50,15,153487
08031006901,50,15,659459
08001008505,50,15,169386
08001008506,50,15,131745
08031003300,50,15,742649
08005087200,50,15,408594
08031012010,50,15,12690
08059015900,50,15,86322
08031004104,50,15,613903
08031002702,50,15,780525
08005005952,50,15,667425
08005083800,50,15,269494
08035014131,50,15,62649
08035014001,50,15,189062
08005006705,50,15,401300
08059012038,50,15,53925
08005005621,50,15,88124
08059010209,50,15,199384
08059010209,50,15,199384
08005085100,50,15,215933
08059009851,50,15,91412
08059011806,50,15,330797
08031005002,50,15,631313
08031000902,50,15,639550
08031002300,50,15,648687
08005084300,50,15,119706
08005085500,50,15,191933
08031003101,50,15,684779
08031004602,50,15,502631
08035014112,50,15,116540
08014031200,50,15,29082
08001007900,50,15,389356
08001008308,50,15,175910
08005007202,50,15,355379
08005007702,50,15,339579
08035014405,50,15,17998
08059010502,50,15,241443
08059010603,50,15,413820
08059010213,50,15,273846
08005086600,50,15,92793
08001060000,50,15,45540
08059009837,50,15,2458
08059009845,50,15,1658
08035014503,50,15,13516
08059010801,50,15,155953
08031008386,50,15,171462
08005007400,50,15,369421
08059012048,50,15,86862
08005006856,50,15,287395
08059009828,50,15,174981
08059012034,50,15,668
08035014204,50,15,18831
08005005630,50,15,255425
08005005951,50,15,608634
08035014602,50,15,13
08035013911,50,15,685
08005084600,50,15,254435
08005007302,50,15,423185
08005005552,50,15,184523
08031003500,50,15,696404
08005006857,50,15,331135
08035014136,50,15,114067
08047013800,50,15,4583
08005006706,50,15,226913
08031003001,50,15,836670
08059009852,50,15,109531
08059011724,50,15,67345
08005006603,50,15,229923
08014980200,50,15,15527
08031006812,50,15,653920
08035014133,50,15,91686
08005081700,50,15,178339
08035014107,50,15,171161
08001009407,50,15,184678
08005081900,50,15,292638
08031000904,50,15,579891
08031004006,50,15,754479
08001008534,50,15,106363
08001008603,50,15,20487
08001008605,50,15,22663
08035014505,50,15,4289
08001009002,50,15,344428
08001008606,50,15,23269
08005005632,50,15,209469
08005006707,50,15,414849
08059011402,50,15,375421
08059011601,50,15,550082
08005086000,50,15,40685
08001060100,50,15,124419
08035014603,50,15,14425
08005006854,50,15,191431
08005082500,50,15,278343
08001008539,50,15,31127
08031007013,50,15,358744
08031004101,50,15,717849
08035014010,50,15,143696
08093000100,50,15,0
08035014128,50,15,70246
08001009318,50,15,355455
08005084700,50,15,257479
08001009751,50,15,289158
08005086500,50,15,90298
08005015100,50,15,947979
08005080100,50,15,431961
08031001000,50,15,683923
08059011731,50,15,7324
08059010305,50,15,199234
08059012043,50,15,51594
08059009900,50,15,344
08059012022,50,15,37837
08005085300,50,15,135917
08005006855,50,15,287523
08031015300,50,15,638173
08035014006,50,15,93087
08059012046,50,15,82265
08031003202,50,15,736471
08039961100,50,15,0
08039961207,50,15,585
08039961205,50,15,45
08059010503,50,15,161117
08059009808,50,15,2509
08059009839,50,15,78886
08059009842,50,15,57633
08014030600,50,15,102903
08035014109,50,15,95537
08035013909,50,15,2493
08001008542,50,15,16365
08031002100,50,15,806579
08001009411,50,15,179682
08005005612,50,15,252726
08031002602,50,15,711169
08031003004,50,15,708238
08014980300,50,15,19577
08001009553,50,15,430689
08001008538,50,15,22610
08035014604,50,15,223
08001008529,50,15,115841
08031003603,50,15,716184
08059011712,50,15,81834
08059011721,50,15,160321
08031003901,50,15,646318
08014030700,50,15,106265
08001008401,50,15,1097
08001008547,50,15,102861
08001009320,50,15,272147
08001009103,50,15,119066
08031003002,50,15,601391
08059009807,50,15,151571
08059009823,50,15,70468
08031015600,50,15,370291
08005005624,50,15,168714
08059009824,50,15,87236
08031000501,50,15,326810
08059012023,50,15,73803
08005007103,50,15,447
