GEOID,new_basic,new_retail,new_service,new_oneperson_hh,new_twoperson_hh,new_total_tract_population,new_total_housing_units,new_hh_income_low,new_hh_income_mid,new_hh_income_high,new_nocar,increase_population_totract,existing_building_SF,max_building_SF,existing_zone_hh,increase_zone_households,new_zone_hh,existing_zone_population,new_zone_population,avg_hhsize_existing,nocar_perc,nocar,population,housing_units,hh_income_low_perc,hh_income_mid_perc,hh_income_high_perc,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_perc,twoperson_perc,oneperson_hh,twoperson_hh,geometry
08001008200,2626.650347,238.5467701,1060.940055,610.81,1446.49,8666.76,2057.3,279.4,897.52,880.38,117.3,2090.76,3060148.6,3556448.63,3060.15,496.3,3556.45,12891.44,14982.19,4.21,0.06,89,6576,1561,0.14,0.44,0.43,212,681,668,1561,0.3,0.7,182,431,"list(list(c(-104.856523, -104.837588, -104.832961, -104.833009, -104.828323, -104.82811, -104.827927, -104.819333, -104.819431, -104.825852, -104.826697, -104.829058, -104.833039, -104.833049, -104.846824, -104.84694, -104.84823, -104.85122, -104.856431, -104.856631, -104.856523, 39.768391, 39.766873, 39.766195, 39.769177, 39.769156, 39.767655, 39.764201, 39.761912, 39.75111, 39.75112, 39.750802, 39.751293, 39.751483, 39.754879, 39.754888, 39.754687, 39.756485, 39.756982, 39.758387, 39.760286, 39.768391
)))"
08001008308,3291.684428,568.9817794,1474.359253,1159.9,1402.49,7421.73,2562.39,633.8,1296.16,632.44,107.75,1773.73,2449555.2,3061944,2449.56,612.39,3061.94,7094.92,8868.65,2.9,0.04,82,5648,1950,0.25,0.51,0.25,466,953,465,1884,0.45,0.55,459,555,"list(list(c(-104.828323, -104.828029, -104.828131, -104.828229, -104.809879, -104.81012, -104.810127, -104.810127, -104.819416, -104.82032, -104.82546, -104.825659, -104.826697, -104.825852, -104.819431, -104.819333, -104.827927, -104.82811, -104.828323, 39.769156, 39.771494, 39.772371, 39.773174, 39.773187, 39.747387, 39.745052, 39.740141, 39.740266, 39.740297, 39.74029, 39.748305, 39.750802, 39.75112, 39.75111, 39.761912, 39.764201, 39.767655, 39.769156)))"
08001008309,10329.22291,1889.050438,4464.801299,476.33,988.21,5307.57,1464.54,275.47,914.87,274.21,73.66,1056.57,1166175.23,1457719.04,1166.18,291.54,1457.72,4226.27,5282.83,3.62,0.05,59,4251,1173,0.19,0.62,0.19,218,724,217,1159,0.33,0.67,134,278,"list(list(c(-104.810127, -104.81012, -104.809879, -104.781727, -104.781818, -104.772157, -104.772166, -104.772264, -104.772418, -104.77247, -104.780629, -104.787422, -104.791128, -104.791219, -104.800625, -104.810022, -104.810127, -104.810127, 39.745052, 39.747387, 39.773187, 39.773387, 39.776485, 39.776409, 39.771466, 39.753859, 39.747401, 39.740251, 39.74026, 39.740266, 39.740269, 39.740269, 39.740281, 39.740141, 39.740141, 39.745052)))"
08001008353,27178.0779,1022.975622,12491.07075,4568.06,5977.05,32835.21,10545.11,784.54,4249.58,5510.99,65.38,24297.21,31212443.6,39015554.5,31212.44,7803.11,39015.55,97188.86,121486.07,3.11,0.01,17,8538,2742,0.07,0.4,0.52,204,1105,1433,2742,0.43,0.57,616,806,"list(list(c(-104.772418, -104.772264, -104.772166, -104.76456, -104.764576, -104.760799, -104.753351, -104.735816, -104.734601, -104.734601, -104.734601, -104.734581, -104.734534, -104.734519, -104.734399, -104.762606, -104.762834, -104.762658, -104.762901, -104.76247, -104.753084, -104.716084, -104.666277, -104.666196, -104.659123, -104.655455, -104.655511, -104.640346, -104.625566, -104.625022, -104.625464, -104.626606, -104.627964, -104.629463, -104.629775, -104.630954, -104.629017, -104.629917, 
-104.628771, -104.628766, -104.626597, -104.625055, -104.627032, -104.625749, -104.624585, -104.623243, -104.622099, -104.622127, -104.623138, -104.622967, -104.62343, -104.622925, -104.62091, -104.617266, -104.616102, -104.611874, -104.609145, -104.607733, -104.605892, -104.603899, -104.601766, -104.597812, -104.59595, -104.594435, -104.591712, -104.590813, -104.588359, -104.587674, -104.586067, -104.584002, -104.583619, -104.582613, -104.582488, -104.602222, -104.603078, -104.613603, -104.616197, 
-104.616507, -104.626065, -104.632424, -104.633384, -104.634448, -104.635347, -104.640723, -104.64293, -104.652803, -104.659953, -104.678305, -104.715945, -104.725637, -104.731955, -104.734834, -104.734969, -104.735396, -104.745854, -104.763038, -104.77247, -104.772418, 39.747401, 39.753859, 39.771466, 39.771598, 39.769391, 39.769487, 39.769487, 39.769412, 39.769181, 39.769211, 39.769268, 39.774838, 39.78173, 39.782949, 39.798442, 39.798433, 39.799878, 39.805574, 39.813038, 39.82298, 39.823048, 39.823207, 
39.82285, 39.814005, 39.814033, 39.814048, 39.82247, 39.822553, 39.82249, 39.820605, 39.815394, 39.813527, 39.81244, 39.810295, 39.806809, 39.804466, 39.803688, 39.802282, 39.800636, 39.798334, 39.797802, 39.796561, 39.794052, 39.791447, 39.790784, 39.791697, 39.791714, 39.789729, 39.788225, 39.785586, 39.783731, 39.783258, 39.782337, 39.782537, 39.781382, 39.77876, 39.777516, 39.775411, 39.769153, 39.76576, 39.759994, 39.756258, 39.754163, 39.752446, 39.750802, 39.749905, 39.746508, 39.745761, 39.744889, 
39.743224, 39.742333, 39.740085, 39.739636, 39.739878, 39.739887, 39.739982, 39.740004, 39.740007, 39.740061, 39.739501, 39.739547, 39.739594, 39.739631, 39.739886, 39.739782, 39.739778, 39.740477, 39.739995, 39.740271, 39.740267, 39.740822, 39.740321, 39.740302, 39.740265, 39.74024, 39.740251, 39.740251, 39.747401)))"
08001008508,133.9598343,77.47074753,789.2332405,1369.83,1756.43,9154.46,3126.27,271,1123.17,1732.1,112.98,3482.46,4757069.05,5946336.31,4757.07,1189.27,5946.34,13929.84,17412.3,2.93,0.04,70,5672,1937,0.09,0.36,0.55,166,688,1061,1915,0.44,0.56,450,577,"list(list(c(-104.958888, -104.958158, -104.953298, -104.940188, -104.940179, -104.940174, -104.940177, -104.940237, -104.948226, -104.948913, -104.949578, -104.958839, -104.958888, 39.907543, 39.913941, 39.91391, 39.913949, 39.907607, 39.904092, 39.899373, 39.899371, 39.899404, 39.899401, 39.899398, 39.899467, 39.907543)))"
08001008526,4741.131014,1321.597871,1380.380599,2217.33,3377.16,14016.64,5594.49,549.44,1592.95,3452.1,170.27,7101.64,11337979.61,14172474.51,11337.98,2834.49,14172.47,28406.57,35508.21,2.51,0.03,84,6915,2760,0.1,0.28,0.62,258,748,1621,2627,0.4,0.6,650,990,"list(list(c(-104.988107, -104.978079, -104.967273, -104.959369, -104.959291, -104.959277, -104.965621, -104.965973, -104.965857, -104.965202, -104.968827, -104.97788, -104.987807, -104.987976, -104.988107, 39.957571, 39.957518, 39.957479, 39.957458, 39.942847, 39.941908, 39.932931, 39.930253, 39.929794, 39.928447, 39.928465, 39.928539, 39.928543, 39.943074, 39.957571)))"
08001008529,3079.051571,1738.655332,5003.678109,3185.28,3006.16,13063.6,6191.44,672.42,3117.76,2401.25,328.08,5617.6,10649743.44,13312179.31,10649.74,2662.44,13312.18,22470.39,28087.98,2.11,0.05,187,7446,3529,0.11,0.5,0.39,366,1697,1307,3370,0.51,0.49,1227,1158,"list(list(c(-104.987921, -104.987807, -104.97788, -104.968827, -104.965202, -104.963836, -104.959085, -104.949534, -104.946861, -104.943787, -104.940213, -104.940188, -104.940186, -104.940188, -104.953298, -104.958158, -104.958604, -104.967938, -104.968453, -104.977777, -104.986556, -104.987089, -104.98987, -104.987921, 39.919377, 39.928543, 39.928539, 39.928465, 39.928447, 39.928487, 39.928477, 39.928946, 39.927078, 39.928133, 39.92835, 39.920913, 39.918403, 39.913949, 39.91391, 39.913941, 39.913945, 
39.914047, 39.91405, 39.914152, 39.914149, 39.914162, 39.914064, 39.919377)))"
08001008533,1188.306526,94.09323709,851.3920324,2553.45,2052.56,12194.18,4606.02,297.21,2080.49,2228.31,145.69,4159.18,6284061.72,7855077.15,6284.06,1571.02,7855.08,16636.72,20795.9,2.65,0.03,96,8035,3035,0.06,0.45,0.48,187,1309,1402,2898,0.55,0.45,938,754,"list(list(c(-104.966387, -104.966336, -104.958839, -104.949578, -104.948913, -104.948226, -104.940237, -104.940177, -104.940183, -104.940181, -104.940181, -104.940165, -104.940325, -104.94458, -104.945923, -104.946122, -104.946588, -104.957671, -104.95892, -104.962588, -104.962658, -104.96465, -104.966189, -104.966428, -104.966387, 39.899523, 39.899523, 39.899467, 39.899398, 39.899401, 39.899404, 39.899371, 39.899373, 39.893974, 39.89226, 39.892116, 39.884978, 39.884983, 39.885008, 39.885025, 39.885027, 
39.885033, 39.885025, 39.885117, 39.885176, 39.887386, 39.8906, 39.892998, 39.894894, 39.899523)))"
08001008540,149.0281629,499.5203238,562.9952821,1438.43,2290.03,11079.14,3728.46,36.14,682.37,3009.95,52.44,3050.14,4105852.2,5132315.25,4105.85,1026.46,5132.32,12200.55,15250.69,2.97,0.01,38,8029,2702,0.01,0.18,0.81,25,472,2082,2579,0.39,0.61,402,640,"list(list(c(-104.922064, -104.921893, -104.921822, -104.920806, -104.920594, -104.919103, -104.912658, -104.912573, -104.911366, -104.911658, -104.90458, -104.904385, -104.90395, -104.903479, -104.903291, -104.903041, -104.901563, -104.90059, -104.900304, -104.899318, -104.899225, -104.899474, -104.899729, -104.893305, -104.893287, -104.891635, -104.884283, -104.884411, -104.884049, -104.881419, -104.868156, -104.865851, -104.859012, -104.859644, -104.857154, -104.859994, -104.859831, -104.861378, 
-104.859624, -104.859786, -104.863987, -104.865112, -104.864039, -104.864447, -104.866423, -104.866356, -104.867423, -104.872309, -104.87463, -104.883737, -104.884078, -104.885013, -104.903055, -104.921886, -104.921978, -104.922022, -104.92203, -104.922064, 39.957441, 39.957433, 39.957552, 39.957506, 39.957478, 39.95741, 39.957488, 39.947473, 39.946386, 39.948, 39.949469, 39.949383, 39.949135, 39.948921, 39.948857, 39.948729, 39.947916, 39.947706, 39.947794, 39.949172, 39.949639, 39.949709, 39.950165, 
39.951003, 39.943109, 39.943113, 39.943138, 39.950363, 39.955747, 39.954949, 39.952179, 39.951267, 39.947108, 39.94687, 39.944877, 39.943099, 39.938264, 39.935153, 39.933397, 39.932244, 39.931708, 39.931038, 39.929198, 39.928191, 39.927216, 39.92456, 39.922782, 39.924747, 39.925072, 39.925048, 39.928772, 39.928657, 39.928581, 39.928462, 39.943013, 39.950129, 39.952011, 39.957441)))"
08001008545,165.7227627,2.716766601,512.1105043,677.96,2375.69,9696.14,3053.65,116.43,586.33,2350.88,74.71,2558.14,3222585.14,4028231.43,3222.59,805.65,4028.23,10232.57,12790.71,3.18,0.02,55,7138,2248,0.04,0.19,0.77,84,423,1696,2203,0.22,0.78,240,841,"list(list(c(-104.965973, -104.965621, -104.959277, -104.959291, -104.951357, -104.940315, -104.940275, -104.940243, -104.940234, -104.940254, -104.94023, -104.940213, -104.943787, -104.946861, -104.949534, -104.959085, -104.963836, -104.965202, -104.965857, -104.965973, 39.930253, 39.932931, 39.941908, 39.942847, 39.942895, 39.942834, 39.942834, 39.942834, 39.939682, 39.935684, 39.934028, 39.92835, 39.928133, 39.927078, 39.928946, 39.928477, 39.928487, 39.928447, 39.929794, 39.930253)))"
