GEOID,new_basic,new_retail,new_service,new_oneperson_hh,new_twoperson_hh,new_total_tract_population,new_total_housing_units,new_hh_income_low,new_hh_income_mid,new_hh_income_high,new_nocar,geometry
08005007704,0,0,144.1543529,1724.46,1349.33,7658.2,3073.79,510.95,1706.4,856.44,136.65,"list(list(c(-104.861082, -104.859274, -104.856404, -104.855646, -104.854748, -104.853754, -104.852427, -104.849174, -104.84724, -104.847263, -104.847254, -104.847237, -104.850775, -104.854641, -104.860759, -104.861082, 39.713877, 39.715037, 39.714807, 39.714925, 39.717497, 39.717965, 39.718821, 39.721339, 39.721568, 39.718431, 39.715806, 39.711178, 39.711155, 39.71113, 39.711088, 39.713877)))"
08005007301,9.651764706,38.60705882,865.9011765,706.07,769.27,3140.96,1475.34,229.01,880.22,366.11,148.91,"list(list(c(-104.847013, -104.843254, -104.837603, -104.82546, -104.825503, -104.828239, -104.837642, -104.847094, -104.847013, 39.740206, 39.740307, 39.740302, 39.74029, 39.736261, 39.736091, 39.736108, 39.736135, 39.740206)))"
08059009841,14.07896458,47.65188011,709.3632153,268.76,705.93,2384.76,974.7,80.1,263.98,630.62,29.24,"list(list(c(-105.137861, -105.12846, -105.128397, -105.128398, -105.128399, -105.128404, -105.128412, -105.128406, -105.128375, -105.128377, -105.128401, -105.128399, -105.128408, -105.137845, -105.137856, -105.13787, -105.137861, 39.827064, 39.827117, 39.822477, 39.822394, 39.82232, 39.822194, 39.821975, 39.820295, 39.819635, 39.818881, 39.817881, 39.815177, 39.812756, 39.812715, 39.814524, 39.823449, 39.827064)))"
08005007500,15.489449,3.097889801,67.12094568,310.5,503.22,2642.5,813.71,98.02,369.97,345.72,33.04,"list(list(c(-104.847152, -104.847094, -104.837642, -104.828239, -104.828244, -104.831032, -104.835282, -104.837858, -104.844286, -104.847185, -104.847152, 39.733002, 39.736135, 39.736108, 39.736091, 39.734362, 39.734209, 39.732354, 39.731189, 39.728341, 39.72892, 39.733002)))"
08005080800,16.29860503,298.8077589,861.1096323,1413.91,1726.29,10048.09,3140.2,471.03,1556.08,1113.09,111.37,"list(list(c(-104.847193, -104.842896, -104.839247, -104.836219, -104.830143, -104.829172, -104.829497, -104.840949, -104.847152, -104.847193, 39.703331, 39.703132, 39.701916, 39.701018, 39.701405, 39.701224, 39.69662, 39.696609, 39.696603, 39.703331)))"
08031015700,17.00266844,7.438667443,210.408022,1349.61,1137.03,6387.69,2486.64,758.4,936.4,791.84,388.94,"list(list(c(-105.044092, -105.041881, -105.041751, -105.038686, -105.037767, -105.029869, -105.025108, -105.025111, -105.025124, -105.025269, -105.032038, -105.032089, -105.032157, -105.032162, -105.034017, -105.036103, -105.037907, -105.041369, -105.041823, -105.043388, -105.04397, -105.044092, 39.662517, 39.666407, 39.667718, 39.667701, 39.667698, 39.667705, 39.667715, 39.666943, 39.665038, 39.656817, 39.657087, 39.655905, 39.653775, 39.653276, 39.653465, 39.654262, 39.654568, 39.654273, 39.656417, 
39.659239, 39.660138, 39.662517)))"
08005007201,22.3176194,42.77543718,909.4429904,1463.41,1049.18,7593.57,2512.59,917.23,885.87,709.48,178.54,"list(list(c(-104.87534, -104.87533, -104.870624, -104.87059, -104.865859, -104.865906, -104.865925, -104.86593, -104.865971, -104.870653, -104.870831, -104.87432, -104.874947, -104.87534, -104.87534, 39.720134, 39.725576, 39.725574, 39.732854, 39.732857, 39.725571, 39.721419, 39.720126, 39.711053, 39.710169, 39.718176, 39.718201, 39.71845, 39.719711, 39.720134)))"
08005085800,25.70910874,0,22.28122758,362.45,758.47,3057.67,1120.92,54.55,369.53,696.83,0,"list(list(c(-104.782269, -104.779016, -104.76322, -104.763242, -104.763075, -104.762951, -104.761365, -104.76077, -104.758499, -104.754602, -104.754335, -104.754347, -104.758903, -104.759602, -104.762621, -104.763125, -104.767285, -104.773293, -104.778738, -104.778219, -104.778849, -104.781159, -104.78396, -104.782269, 39.63851, 39.638515, 39.638506, 39.636552, 39.635901, 39.635675, 39.634582, 39.634393, 39.633668, 39.631243, 39.630572, 39.628199, 39.629836, 39.631468, 39.631878, 39.631942, 39.632485, 
39.631187, 39.632311, 39.630776, 39.630964, 39.631985, 39.634543, 39.63851)))"
08031004303,27.12680162,140.6574899,944.4145749,625.02,1056.85,4218.72,1681.86,92.49,256.21,1333.16,10.05,"list(list(c(-104.940645, -104.940628, -104.940635, -104.940632, -104.940615, -104.930521, -104.922799, -104.92278, -104.922262, -104.922263, -104.922286, -104.930497, -104.931648, -104.940687, -104.940645, 39.711564, 39.717792, 39.718352, 39.720942, 39.725598, 39.725615, 39.725631, 39.721933, 39.717896, 39.717838, 39.711339, 39.711343, 39.711098, 39.711221, 39.711564)))"
08059010304,28.07765258,18.35846515,321.813095,654.52,607.9,2990.27,1262.42,133.12,495.87,633.43,115.55,"list(list(c(-105.114262, -105.113969, -105.113728, -105.103261, -105.102747, -105.102545, -105.100199, -105.10021, -105.100209, -105.104799, -105.104785, -105.106772, -105.107714, -105.109076, -105.111338, -105.114384, -105.114262, 39.814271, 39.815038, 39.816969, 39.817022, 39.815982, 39.812588, 39.811088, 39.804068, 39.802061, 39.801956, 39.802887, 39.805137, 39.806012, 39.807259, 39.809417, 39.812205, 39.814271)))"
