GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,UPA,geometry
08031004304,33,5739,2909,162,889,1772,2823,1231,769,2.5,"list(list(c(-104.922808, -104.92233, -104.922334, -104.922321, -104.912803, -104.903455, -104.903457, -104.903458, -104.903458, -104.903407, -104.912794, -104.922799, -104.922808, 39.729255, 39.733652, 39.736679, 39.740142, 39.740153, 39.740145, 39.737269, 39.735625, 39.732894, 39.725641, 39.725638, 39.725631, 39.729255)))"
08031004303,10,4199,1674,87,241,1254,1582,330,558,2.5,"list(list(c(-104.940645, -104.940628, -104.940635, -104.940632, -104.940615, -104.930521, -104.922799, -104.92278, -104.922262, -104.922263, -104.922286, -104.930497, -104.931648, -104.940687, -104.940645, 39.711564, 39.717792, 39.718352, 39.720942, 39.725598, 39.725615, 39.725631, 39.721933, 39.717896, 39.717838, 39.711339, 39.711343, 39.711098, 39.711221, 39.711564)))"
08031001401,395,6401,2389,820,846,673,2339,922,592,2.5,"list(list(c(-105.025059, -105.01569, -105.012707, -105.006595, -104.992384, -104.993915, -104.994836, -104.999501, -104.999755, -105.002745, -105.006864, -105.01176, -105.015708, -105.025057, -105.025064, -105.025059, 39.696746, 39.696762, 39.696747, 39.696724, 39.69666, 39.69293, 39.692048, 39.68971, 39.689116, 39.689446, 39.689468, 39.689495, 39.689513, 39.689485, 39.693108, 39.696746)))"
08031004301,514,5086,3406,757,1220,1013,2990,1629,952,2.5,"list(list(c(-104.940608, -104.940602, -104.940615, -104.940593, -104.940593, -104.932087, -104.931534, -104.930379, -104.930381, -104.930412, -104.930459, -104.930452, -104.930521, -104.940615, -104.940608, 39.729226, 39.732076, 39.734689, 39.736683, 39.740128, 39.740133, 39.740135, 39.740134, 39.73649, 39.732865, 39.732563, 39.729238, 39.725615, 39.725598, 39.729226)))"
08031004306,93,5325,2436,225,649,1435,2309,809,792,2.5,"list(list(c(-104.922799, -104.912794, -104.903407, -104.903494, -104.903534, -104.903705, -104.903454, -104.903494, -104.906471, -104.910094, -104.912782, -104.917647, -104.922286, -104.922263, -104.922262, -104.92278, -104.922799, 39.725631, 39.725638, 39.725641, 39.725253, 39.722384, 39.717058, 39.713323, 39.711281, 39.711394, 39.711382, 39.711382, 39.711385, 39.711339, 39.717838, 39.717896, 39.721933, 39.725631)))"
08031001403,120,3032,1713,231,717,642,1590,669,696,2.5,"list(list(c(-105.001844, -104.999111, -104.997865, -104.997982, -104.998728, -105.001425, -105.001409, -104.999755, -104.999501, -104.994836, -104.993915, -104.992384, -104.987431, -104.987513, -104.987567, -104.987572, -104.991132, -104.999906, -105.001844, 39.66768, 39.668896, 39.672284, 39.67847, 39.680268, 39.682487, 39.683223, 39.689116, 39.68971, 39.692048, 39.69293, 39.69666, 39.696633, 39.687573, 39.678518, 39.667682, 39.667674, 39.667884, 39.66768)))"
08031001301,192,5259,1771,330,832,601,1763,313,617,2.5,"list(list(c(-105.025099, -105.025082, -105.025078, -105.025092, -105.0157, -105.011009, -105.010983, -105.011033, -105.012139, -105.012621, -105.012707, -105.01569, -105.025059, -105.02508, -105.025084, -105.025099, 39.704912, 39.707512, 39.707654, 39.711174, 39.71119, 39.711189, 39.703972, 39.701372, 39.699143, 39.698316, 39.696747, 39.696762, 39.696746, 39.700411, 39.703947, 39.704912)))"
08031000903,148,6021,2059,524,1041,325,1890,433,387,2.5,"list(list(c(-105.039716, -105.03945, -105.039454, -105.032484, -105.025135, -105.025102, -105.025078, -105.025087, -105.025092, -105.032455, -105.039697, -105.0397, -105.039701, -105.039716, 39.72133, 39.722949, 39.725707, 39.725622, 39.725542, 39.720269, 39.71664, 39.714824, 39.711174, 39.711209, 39.71125, 39.714963, 39.719735, 39.72133)))"
08031000904,455,5583,2050,783,803,365,1951,711,408,2.5,"list(list(c(-105.055591, -105.055567, -105.053228, -105.049868, -105.045537, -105.04205, -105.0393, -105.039384, -105.039471, -105.039468, -105.039454, -105.043984, -105.046267, -105.048501, -105.053253, -105.053253, -105.053227, -105.055588, -105.055591, 39.734508, 39.734977, 39.734965, 39.735277, 39.734846, 39.73505, 39.734344, 39.732994, 39.730622, 39.728256, 39.725707, 39.725719, 39.725728, 39.725805, 39.7258, 39.725828, 39.73311, 39.733105, 39.734508)))"
08031004101,289,4589,2143,591,921,561,2073,897,612,2.5,"list(list(c(-104.940507, -104.940483, -104.940487, -104.940506, -104.940323, -104.939882, -104.927034, -104.927002, -104.922274, -104.922289, -104.922306, -104.922291, -104.931853, -104.940495, -104.940507, 39.765654, 39.768099, 39.772886, 39.779951, 39.789103, 39.790994, 39.791054, 39.783778, 39.783776, 39.769236, 39.765611, 39.762006, 39.761999, 39.76196, 39.765654)))"
08031003603,52,3530,1569,199,458,839,1496,404,606,2.5,"list(list(c(-104.959758, -104.959763, -104.959752, -104.956104, -104.951183, -104.949914, -104.946262, -104.942711, -104.940495, -104.940508, -104.940508, -104.94058, -104.954945, -104.959766, -104.959758, 39.754466, 39.758228, 39.761991, 39.761984, 39.761962, 39.761953, 39.761934, 39.761716, 39.76196, 39.758294, 39.754664, 39.751036, 39.75115, 39.750716, 39.754466)))"
08031004005,332,3299,1859,276,769,626,1671,756,678,2.5,"list(list(c(-104.959447, -104.950487, -104.947859, -104.94042, -104.940748, -104.940924, -104.950828, -104.956583, -104.959393, -104.959447, 39.684727, 39.68468, 39.684504, 39.682897, 39.678414, 39.678378, 39.678424, 39.678472, 39.678425, 39.684727)))"
