GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
08031002802,300,4060,3032,404,1272,965,2641,1831,493,"list(list(c(-104.987525, -104.987497, -104.987435, -104.987423, -104.982969, -104.980305, -104.980278, -104.980299, -104.980387, -104.980383, -104.987575, -104.987525, 39.714779, 39.718358, 39.725637, 39.726943, 39.723163, 39.721486, 39.718323, 39.716522, 39.714728, 39.711118, 39.711157, 39.714779)))"
08031002402,183,2034,956,188,251,439,878,279,386,"list(list(c(-104.97812, -104.978151, -104.978118, -104.973359, -104.973357, -104.973339, -104.973383, -104.978177, -104.97812, 39.750735, 39.75324, 39.754571, 39.754547, 39.750723, 39.746975, 39.743778, 39.7475, 39.750735)))"
08031004405,516,8976,4188,501,1204,2294,3999,1497,1123,"list(list(c(-104.903534, -104.903494, -104.903407, -104.903458, -104.891337, -104.884708, -104.884933, -104.886613, -104.881934, -104.879735, -104.87533, -104.87534, -104.87534, -104.874947, -104.87432, -104.870831, -104.870653, -104.875373, -104.879022, -104.884017, -104.885315, -104.892062, -104.892914, -104.903494, -104.903454, -104.903705, -104.903534, 39.722384, 39.725253, 39.725641, 39.732894, 39.732854, 39.732846, 39.730442, 39.729219, 39.72496, 39.725623, 39.725576, 39.720134, 39.719711, 
39.71845, 39.718201, 39.718176, 39.710169, 39.709029, 39.708157, 39.707029, 39.707172, 39.711143, 39.711307, 39.711281, 39.713323, 39.717058, 39.722384)))"
08031015500,202,3576,1988,264,1006,559,1829,816,682,"list(list(c(-104.934135, -104.931714, -104.931651, -104.934076, -104.934135, 39.700181, 39.700208, 39.698398, 39.698436, 39.700181)), list(c(-104.940633, -104.940485, -104.939539, -104.936213, -104.936233, -104.934027, -104.931735, -104.931724, -104.931697, -104.940549, -104.940562, -104.940633, 39.694755, 39.695664, 39.694688, 39.694782, 39.696599, 39.6966, 39.696601, 39.692973, 39.689341, 39.689321, 39.692941, 39.694755)))"
08059011550,480,6491,3227,741,1523,762,3026,1142,1085,"list(list(c(-105.081526, -105.081441, -105.081388, -105.081324, -105.071939, -105.067217, -105.066127, -105.062593, -105.053206, -105.053228, -105.055567, -105.055591, -105.055588, -105.053227, -105.053253, -105.053253, -105.053842, -105.062679, -105.064974, -105.074526, -105.081525, -105.081526, 39.725614, 39.733002, 39.736538, 39.740342, 39.740368, 39.740375, 39.740382, 39.740391, 39.740411, 39.734965, 39.734977, 39.734508, 39.733105, 39.73311, 39.725828, 39.7258, 39.725649, 39.725579, 39.725571, 
39.725538, 39.725492, 39.725614)))"
08031001401,395,6401,2389,820,846,673,2339,922,592,"list(list(c(-105.025059, -105.01569, -105.012707, -105.006595, -104.992384, -104.993915, -104.994836, -104.999501, -104.999755, -105.002745, -105.006864, -105.01176, -105.015708, -105.025057, -105.025064, -105.025059, 39.696746, 39.696762, 39.696747, 39.696724, 39.69666, 39.69293, 39.692048, 39.68971, 39.689116, 39.689446, 39.689468, 39.689495, 39.689513, 39.689485, 39.693108, 39.696746)))"
08031001302,31,3974,1453,303,717,375,1395,351,549,"list(list(c(-105.012621, -105.012139, -105.011033, -105.010983, -105.011009, -105.001564, -105.000143, -104.997805, -104.992492, -104.992384, -105.006595, -105.012707, -105.012621, 39.698316, 39.699143, 39.701372, 39.703972, 39.711189, 39.711174, 39.711202, 39.705845, 39.699352, 39.69666, 39.696724, 39.696747, 39.698316)))"
08031000303,146,4665,2650,303,604,1358,2265,912,857,"list(list(c(-105.039337, -105.034643, -105.029969, -105.025238, -105.025287, -105.025233, -105.025281, -105.025241, -105.025233, -105.02993, -105.034613, -105.039303, -105.03931, -105.039337, 39.769432, 39.769547, 39.769402, 39.769288, 39.766078, 39.765609, 39.764664, 39.762021, 39.758476, 39.758485, 39.758518, 39.758499, 39.763957, 39.769432)))"
08031004301,514,5086,3406,757,1220,1013,2990,1629,952,"list(list(c(-104.940608, -104.940602, -104.940615, -104.940593, -104.940593, -104.932087, -104.931534, -104.930379, -104.930381, -104.930412, -104.930459, -104.930452, -104.930521, -104.940615, -104.940608, 39.729226, 39.732076, 39.734689, 39.736683, 39.740128, 39.740133, 39.740135, 39.740134, 39.73649, 39.732865, 39.732563, 39.729238, 39.725615, 39.725598, 39.729226)))"
08031000701,577,4516,2383,644,798,703,2145,1107,560,"list(list(c(-105.053206, -105.05321, -105.053212, -105.039308, -105.039324, -105.039326, -105.039311, -105.0393, -105.04205, -105.045537, -105.049868, -105.053228, -105.053206, 39.740411, 39.743273, 39.74398, 39.743953, 39.741526, 39.740342, 39.73847, 39.734344, 39.73505, 39.734846, 39.735277, 39.734965, 39.740411)))"
