GEOID,new_oneperson_hh,new_twoperson_hh,new_total_tract_population,new_total_housing_units,new_hh_income_low,new_hh_income_mid,new_hh_income_high,new_nocar,new_basic,new_retail,new_service,new_total_emp
08005007704,1724.46,1349.33,7658.2,3073.79,510.95,1706.4,856.44,136.65,0,0,144.1543529,144.1543529
08005007301,706.07,769.27,3140.96,1475.34,229.01,880.22,366.11,148.91,9.651764706,38.60705882,865.9011765,914.160000026
08059009841,268.76,705.93,2384.76,974.7,80.1,263.98,630.62,29.24,14.07896458,47.65188011,709.3632153,771.09405999
08005007500,310.5,503.22,2642.5,813.71,98.02,369.97,345.72,33.04,15.489449,3.097889801,67.12094568,85.708284481
08005080800,1413.91,1726.29,10048.09,3140.2,471.03,1556.08,1113.09,111.37,16.29860503,298.8077589,861.1096323,1176.21599623
08031015700,1349.61,1137.03,6387.69,2486.64,758.4,936.4,791.84,388.94,17.00266844,7.438667443,210.408022,234.84935788299998
08005007201,1463.41,1049.18,7593.57,2512.59,917.23,885.87,709.48,178.54,22.3176194,42.77543718,909.4429904,974.53604698
08005085800,362.45,758.47,3057.67,1120.92,54.55,369.53,696.83,0,25.70910874,0,22.28122758,47.99033632
08031004303,625.02,1056.85,4218.72,1681.86,92.49,256.21,1333.16,10.05,27.12680162,140.6574899,944.4145749,1112.19886642
08059010304,654.52,607.9,2990.27,1262.42,133.12,495.87,633.43,115.55,28.07765258,18.35846515,321.813095,368.24921272999995
08031005001,492,713.24,2856.02,1205.24,158.14,475.55,571.56,62,30.47261957,68.30069904,701.9210302,800.6943488100001
08031007088,1554.92,1187.07,5058.5,2741.99,511.33,1058.64,1172.02,362.79,30.83197887,50.35889882,424.4535758,505.64445349000005
08001009309,1101.67,925.08,5319.91,2026.75,497.34,826.41,703.01,188.22,31.16160965,26.17575211,224.3635895,281.70095126
08031003101,522.2,422.91,1930.7,945.11,141.89,349.91,453.31,117.21,31.96523179,42.62030905,3533.22362,3607.80916084
08059009832,631.71,871.04,4089.01,1502.74,102.25,562.37,838.13,32.37,32.36683377,739.8133434,1071.18807,1843.36824717
08031011902,1628.67,1554.99,6636.89,3183.66,401.91,1508.29,1273.46,289.81,36.22640231,51.1431562,376.1152946,463.48485311
08005084400,577.08,1038.1,4816.01,1615.17,83.86,633.65,897.66,18.64,41.93236698,0,23.29575943,65.22812641
08001009318,2702.8,2121.86,13263.05,4824.66,1484.18,2485.89,854.59,218.44,42.41461465,583.2009514,1463.304205,2088.91977105
08005081300,429.67,937.91,3841.3,1367.58,38.52,751.21,577.85,96.79,42.73697644,202.3721531,126.9539594,372.06308894
08005082300,2654.13,1843.51,12956.81,4497.64,498.65,2330.3,1668.69,146.49,43.63611739,557.9189295,504.9322155,1106.48726239
08005085700,1566.86,1706.07,8206.89,3272.93,380.35,1579.9,1312.68,67.31,43.66334737,427.536943,334.7523299,805.95262027
08031003603,725.52,1088.28,4080.75,1813.79,241.27,555.29,1017.23,60.11,43.92875354,52.02089235,1254.281516,1350.23116189
08031001301,612.64,1207.66,5405.39,1820.3,340.73,859.04,620.53,197.34,45.22478798,230.2352843,630.0635235,905.5235957799999
08031005503,637.83,1354.78,5345.88,1992.6,332.83,544.84,1114.94,185.11,45.74583881,4.255426866,315.9654448,365.966710476
08031003702,2739.62,1227.46,6801.1,3967.08,879.16,1793.08,1294.84,685.01,46.30304365,245.1337605,615.5581097,906.9949138500001
08005080000,1020.56,1475.57,7147.24,2496.13,357.15,1584.5,554.48,31.69,46.60432968,779.2243923,292.6751904,1118.50391238
08005083300,1745.5,2730.86,11093.81,4476.36,392.17,1400.96,2683.24,52.28,47.30304982,881.3305072,953.529899,1882.16345602
08001009501,748.46,592.45,3665.68,1340.91,321.91,603.01,415.99,133.75,47.60623377,115.6151391,837.6430179,1000.86439077
08005084100,780.95,1820.2,7487.61,2601.15,322.46,1020.29,1258.41,56.69,50.20893576,8.098215445,254.283965,312.591116205
08005080600,3171.36,1831.04,9128.71,5002.4,492.51,3510.55,999.33,100.58,50.28863149,79.40310235,1135.464364,1265.1560978399998
08005084500,1308.81,2428.51,9053.03,3737.32,254.96,1829.93,1652.43,139.09,51.40330995,0,492.8670307,544.27034065
08005083100,2787.72,4475.27,18796.41,7262.99,583.53,2883.67,3795.79,127.52,51.5490459,84.10633805,268.5976602,404.25304415000005
08005007702,1265.86,1521.49,7274.13,2787.35,252.89,1361.13,1173.33,88.35,51.97044534,116.0673279,220.0082186,388.04599183999994
08031008306,976.62,1169.08,7766,2145.7,320.57,1124.79,700.34,271.18,55.10100167,0,205.2782415,260.37924317
08001009103,684.47,991.78,5923.64,1676.25,239.46,1000.2,436.58,44.08,57.43326268,16.02788726,88.15337993,161.61452987
08005083500,1887.98,2520.98,12995.58,4408.96,582.63,1847.05,1979.28,146.83,58.33026157,522.9609658,925.2386318,1506.52985917
08031002402,466.79,645.8,4401.16,1112.59,238.23,318.06,556.3,212.97,58.42247788,354.8624582,917.4492822,1330.7342182799998
08059009835,650.68,1349.73,5315.94,2000.41,133.64,460.65,1406.12,18.48,59.71368815,19.90456272,137.9101845,217.52843537
08031004005,1663.2,1491.6,12196.54,3154.8,521.08,1451.85,1181.87,563.42,62.84970597,273.5810731,3730.314901,4066.74568007
08005084200,977.28,2431.85,9573.07,3409.13,166.62,1631.84,1610.68,43.28,63.65073138,145.1236676,743.4405426,952.21494158
08005082900,1144.14,2035.25,8839.07,3179.39,208.89,1247.61,1722.89,16.26,65.03301042,3.612945024,37.93592275,106.581878194
08001009407,1076.27,925.33,5730.19,2001.6,301.98,939.62,760,42.42,65.86425287,50.23544711,2272.874896,2388.97459598
08005084700,1247.9,1518.67,7131.58,2766.56,137.23,1002.94,1626.39,31.57,66.4639329,79.75671948,377.1828192,523.40347158
08031004003,1152.07,1190.61,8820.48,2342.68,334.99,726.57,1281.12,192.13,66.93273891,1382.579388,1610.56903,3060.08115691
08005087100,2328.32,1391.26,7269.75,3719.59,854.65,1930.78,934.16,450.94,67.7710649,1613.47266,2450.184654,4131.4283789
08031000904,1572.4,902.31,12322.66,2474.71,993.18,1018.55,462.98,549.27,68.42243597,119.1874691,143.466398,331.07630307
08031000903,1097.73,981.11,6079.01,2078.84,576.35,1145.01,357.47,149.43,68.65515363,115.0983458,300.8711144,484.62461383000004
08059010209,1209.8,1754.54,7242.06,2964.33,283.02,1421.84,1259.48,74.65,72.4855124,24.88308635,505.2348402,602.60343895
