id,new_total_emp
08005007704,144.1543529
08005007301,914.160000026
08059009841,771.09405999
08005007500,85.708284481
08005080800,1176.21599623
08031015700,234.849357883
08005007201,974.53604698
08005085800,47.99033632
08031004303,1112.19886642
08059010304,368.2492127299999
08031005001,800.6943488100001
08031007088,505.6444534900001
08001009309,281.70095126
08031003101,3607.80916084
08059009832,1843.36824717
08031011902,463.48485311
08005084400,65.22812641
08001009318,2088.91977105
08005081300,372.06308894
08005082300,1106.48726239
08005085700,805.95262027
08031003603,1350.23116189
08031001301,905.52359578
08031005503,365.966710476
08031003702,906.99491385
08005080000,1118.50391238
08005083300,1882.16345602
08001009501,1000.86439077
08005084100,312.591116205
08005080600,1265.1560978399998
08005084500,544.27034065
08005083100,404.2530441500001
08005007702,388.04599183999994
08031008306,260.37924317
08001009103,161.61452987
08005083500,1506.52985917
08031002402,1330.7342182799998
08059009835,217.52843537
08031004005,4066.74568007
08005084200,952.21494158
08005082900,106.581878194
08001009407,2388.97459598
08005084700,523.40347158
08031004003,3060.08115691
08005087100,4131.4283789
08031000904,331.07630307
08031000903,484.62461383
08059010209,602.60343895
08031006812,2551.55944792
08001009603,1978.96884751
08001009207,207.23778153
08005080200,2463.64943435
08031004404,1492.4920424000002
08005082200,955.45618051
08005080700,7968.18986425
08005082800,611.3757372
08005087000,5659.91285911
08031005102,914.60594485
08031003401,846.8515124099999
08031002602,3612.15680113
08001009322,920.22507929
08005085900,306.19869379
08059010205,184.4476269
08059010209,781.2736286500001
08001009326,357.76348951
08031004302,999.71970703
08031006813,5693.0008902
08059009833,1654.2942497
08059010305,2967.35792258
08001009304,2592.3906532
08031003201,4215.6650503
08031003004,29625.0870274
08059010307,1384.2223503
08031003202,2845.798128
08031004602,787.70404256
08005081900,639.94745756
08001008508,1000.66382233
08031000702,3436.5245359
08005080100,2634.4550064
08005007703,920.2862289
08005007600,1807.6570388
08059010208,1971.9547707
08005006854,22169.3252017
08001008540,1211.5437688000002
08059010210,320.10537966699997
08031003701,7996.8704186
08059010206,2351.600423
08031015300,2056.6249491999997
08031004700,741.5304736
08005083600,1224.2459739
08001008545,680.550033601
08031000301,2423.231871
08001008550,367.95612656
08059009840,1790.43124198
08001009206,4066.0312227
08005084600,1440.0932791
08001009401,2686.72333288
08059009815,605.15516399
08005005628,1754.2464314
08059009836,762.162243462
08031004306,1951.72222675
08001009204,2157.6020627
08005083700,2265.338807
08059010211,2002.0657771
08005081000,22892.8925572
08005083800,680.3318948799999
08001009104,326.04953576
08001009202,2169.01797148
08031000303,1823.0493292
08005082600,2313.04485411
08001009608,1164.116093
08031002403,1621.6107398
08005082100,2258.3311466
08031001101,1251.34905797
08031004405,11694.5953714
08031004304,3708.361056
08031003703,5322.7849598
08031004006,3026.6882065
08001009607,5683.46842326
08031005002,3147.4852184
08059010303,1486.63483646
08005081400,5469.6417943
08059009834,1924.9751054
08005081600,2288.3857956
08005081200,1487.8761682
08031006811,4834.2877448
08059010306,1554.6755509
08005005626,1994.6557398
08031004301,50007.584356199994
08005004952,11507.6624369
08005080300,7761.2472376
08031000701,1521.2354008
08031006809,7483.1234263
08001009203,14714.672874
08059010405,5948.6185887
08005080500,1699.373538444
08001009604,3474.8529091
08001060000,6128.2661447
08031006901,3552.7269092
08059010212,2320.1131233
08031008388,2783.6637293000003
08031001800,25288.418917199997
08059009838,1363.84624798
08001009001,3139.8046833
08005081800,1671.3279607
08031000402,7894.5719633
08059009851,3788.9811099
08031000202,1364.20089616
08001009325,3689.05069789
08031002801,4359.2685141
08001008533,2133.79179549
08031001102,4494.7374496
08031002803,5556.1510695
08031002702,86880.14430399999
08059010308,4400.1656819
08031000600,16221.6718511
08059009842,2458.3597976
08059010213,3478.8210358999995
08059010406,4380.3504498
08031002802,9390.7130593
08001008200,3926.1371721
08031001600,15275.0387562
08001008529,9821.385012
08001008308,5335.0254604
08005082000,22621.2217747
08031015500,6854.572298
08005006855,12378.3205648
08031003800,48036.498169
08031001403,8695.2108715
08031005300,22180.028489999997
08031002100,10584.901531
08001008526,7443.109484
08031015600,9444.058137
08031004101,7024.6178513
08031001401,15718.835492
08005006709,15358.172236
08059010402,19116.396681
08001008309,16683.074647
08059060500,37756.4748477
08001008353,40692.124272
08005006856,68486.63561900001
08001008801,1428
08001007801,480
