zone_type,GEOID,zone_SF,existing_FAR,new_FAR,existing_building_SF,max_building_SF,existing_zone_hh,new_zone_hh,existing_zone_population,new_zone_population,increase_population_totract,new_total_tract_population,avg_hhsize_existing,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
R6,8001009608,50963.5293,2.3,3.5,117216.1174,178372.3525,117.2161174,178.3723525,285.7308984,434.8078888,149.0769905,3374.07699,2.437641723,29,3225,1323,124,520,659,1303,370,480,"list(list(c(-105.053281, -105.052982, -105.051293, -105.047796, -105.044071, -105.04411, -105.044099, -105.044025, -105.044018, -105.050026, -105.052839, -105.053256, -105.05325, -105.05327, -105.053282, -105.053281, 39.821859, 39.82184, 39.821357, 39.820096, 39.818795, 39.81745, 39.81282, 39.804448, 39.804354, 39.803115, 39.802535, 39.806497, 39.81277, 39.820028, 39.821163, 39.821859)))"
R13,8001009608,"280,545.90",2.3,3.5,645255.57,981910.65,645.25557,981.91065,1572.9019,2393.546369,820.6444694,4045.644469,2.437641723,29,3225,1323,124,520,659,1303,370,480,"list(list(c(-105.053281, -105.052982, -105.051293, -105.047796, -105.044071, -105.04411, -105.044099, -105.044025, -105.044018, -105.050026, -105.052839, -105.053256, -105.05325, -105.05327, -105.053282, -105.053281, 39.821859, 39.82184, 39.821357, 39.820096, 39.818795, 39.81745, 39.81282, 39.804448, 39.804354, 39.803115, 39.802535, 39.806497, 39.81277, 39.820028, 39.821163, 39.821859)))"
R6,8059009815,337064.0483,2.3,3.5,775247.3112,1179724.169,775.2473112,1179.724169,2177.230215,3313.176415,1135.946199,6530.946199,2.808433108,0,5395,1921,59,390,1441,1890,280,709,"list(list(c(-105.148434, -105.148259, -105.144932, -105.140899, -105.140073, -105.145819, -105.141566, -105.143519, -105.139499, -105.13823, -105.137318, -105.138581, -105.137655, -105.139267, -105.135562, -105.126198, -105.115995, -105.111948, -105.111767, -105.111761, -105.111708, -105.111239, -105.110369, -105.110048, -105.110043, -105.110089, -105.119548, -105.126567, -105.1289, -105.129053, -105.130498, -105.131267, -105.132429, -105.136375, -105.141121, -105.143831, -105.147781, -105.147767, 
-105.147745, -105.147783, -105.147746, -105.147708, -105.147644, -105.147649, -105.14761, -105.147593, -105.148854, -105.148434, 39.87128, 39.871506, 39.870585, 39.867728, 39.866596, 39.864665, 39.862878, 39.861379, 39.862004, 39.862673, 39.861778, 39.860834, 39.85974, 39.858285, 39.856586, 39.855994, 39.853422, 39.854429, 39.853019, 39.85301, 39.852921, 39.853183, 39.853536, 39.853038, 39.851717, 39.841972, 39.842008, 39.842048, 39.842055, 39.842056, 39.84207, 39.842069, 39.842075, 39.841936, 39.844443, 
39.845343, 39.845893, 39.846058, 39.847776, 39.851727, 39.853071, 39.856414, 39.863078, 39.863898, 39.867491, 39.869683, 39.871031, 39.87128)))"
R13,8059009815,223351.521,2.3,3.5,513708.4983,781730.3235,513.7084983,781.7303235,1442.715954,2195.437322,752.7213675,6147.721367,2.808433108,0,5395,1921,59,390,1441,1890,280,709,"list(list(c(-105.148434, -105.148259, -105.144932, -105.140899, -105.140073, -105.145819, -105.141566, -105.143519, -105.139499, -105.13823, -105.137318, -105.138581, -105.137655, -105.139267, -105.135562, -105.126198, -105.115995, -105.111948, -105.111767, -105.111761, -105.111708, -105.111239, -105.110369, -105.110048, -105.110043, -105.110089, -105.119548, -105.126567, -105.1289, -105.129053, -105.130498, -105.131267, -105.132429, -105.136375, -105.141121, -105.143831, -105.147781, -105.147767, 
-105.147745, -105.147783, -105.147746, -105.147708, -105.147644, -105.147649, -105.14761, -105.147593, -105.148854, -105.148434, 39.87128, 39.871506, 39.870585, 39.867728, 39.866596, 39.864665, 39.862878, 39.861379, 39.862004, 39.862673, 39.861778, 39.860834, 39.85974, 39.858285, 39.856586, 39.855994, 39.853422, 39.854429, 39.853019, 39.85301, 39.852921, 39.853183, 39.853536, 39.853038, 39.851717, 39.841972, 39.842008, 39.842048, 39.842055, 39.842056, 39.84207, 39.842069, 39.842075, 39.841936, 39.844443, 
39.845343, 39.845893, 39.846058, 39.847776, 39.851727, 39.853071, 39.856414, 39.863078, 39.863898, 39.867491, 39.869683, 39.871031, 39.87128)))"
R24,8059009815,107493.9146,2.3,3.5,247236.0035,376228.7009,247.2360035,376.2287009,694.3457776,1056.61314,362.2673622,5757.267362,2.808433108,0,5395,1921,59,390,1441,1890,280,709,"list(list(c(-105.148434, -105.148259, -105.144932, -105.140899, -105.140073, -105.145819, -105.141566, -105.143519, -105.139499, -105.13823, -105.137318, -105.138581, -105.137655, -105.139267, -105.135562, -105.126198, -105.115995, -105.111948, -105.111767, -105.111761, -105.111708, -105.111239, -105.110369, -105.110048, -105.110043, -105.110089, -105.119548, -105.126567, -105.1289, -105.129053, -105.130498, -105.131267, -105.132429, -105.136375, -105.141121, -105.143831, -105.147781, -105.147767, 
-105.147745, -105.147783, -105.147746, -105.147708, -105.147644, -105.147649, -105.14761, -105.147593, -105.148854, -105.148434, 39.87128, 39.871506, 39.870585, 39.867728, 39.866596, 39.864665, 39.862878, 39.861379, 39.862004, 39.862673, 39.861778, 39.860834, 39.85974, 39.858285, 39.856586, 39.855994, 39.853422, 39.854429, 39.853019, 39.85301, 39.852921, 39.853183, 39.853536, 39.853038, 39.851717, 39.841972, 39.842008, 39.842048, 39.842055, 39.842056, 39.84207, 39.842069, 39.842075, 39.841936, 39.844443, 
39.845343, 39.845893, 39.846058, 39.847776, 39.851727, 39.853071, 39.856414, 39.863078, 39.863898, 39.867491, 39.869683, 39.871031, 39.87128)))"
R24,8059009832,439786.7769,2.3,3.5,1011509.587,1539253.719,1011.509587,1539.253719,2752.343522,4188.348837,1436.005316,4089.005316,2.721025641,21,2653,975,66,363,541,970,227,313,"list(list(c(-105.064746, -105.054622, -105.053339, -105.052847, -105.0529, -105.053188, -105.05321, -105.053236, -105.060663, -105.062549, -105.062703, -105.06327, -105.062499, -105.062832, -105.062526, -105.064746, 39.856547, 39.856905, 39.855978, 39.853229, 39.852042, 39.849649, 39.845763, 39.841807, 39.841686, 39.841249, 39.841235, 39.843798, 39.847374, 39.848216, 39.855736, 39.856547)))"
R13,8059009833,1290103.832,2.3,3.5,2967238.813,4515363.41,2967.238813,4515.36341,6717.770108,10222.69364,3504.923534,9010.923534,2.263980263,0,5506,2432,342,861,1105,2308,750,740,"list(list(c(-105.081789, -105.081783, -105.081749, -105.081698, -105.081686, -105.076658, -105.074117, -105.064746, -105.062526, -105.062832, -105.062499, -105.06327, -105.062703, -105.063491, -105.066446, -105.069664, -105.073354, -105.081821, -105.081789, 39.847153, 39.847263, 39.851688, 39.853393, 39.856441, 39.856506, 39.856547, 39.856547, 39.855736, 39.848216, 39.847374, 39.843798, 39.841235, 39.841162, 39.84115, 39.841235, 39.841825, 39.841799, 39.847153)))"
R24,8059009833,2243267.108,2.3,3.5,5159514.349,7851434.879,5159.514349,7851.434879,11681.03865,17775.4936,6094.45495,11600.45495,2.263980263,0,5506,2432,342,861,1105,2308,750,740,"list(list(c(-105.081789, -105.081783, -105.081749, -105.081698, -105.081686, -105.076658, -105.074117, -105.064746, -105.062526, -105.062832, -105.062499, -105.06327, -105.062703, -105.063491, -105.066446, -105.069664, -105.073354, -105.081821, -105.081789, 39.847153, 39.847263, 39.851688, 39.853393, 39.856441, 39.856506, 39.856547, 39.856547, 39.855736, 39.848216, 39.847374, 39.843798, 39.841235, 39.841162, 39.84115, 39.841235, 39.841825, 39.841799, 39.847153)))"
R13,8059009834,1406215.071,2.3,3.5,3234294.664,4921752.75,3234.294664,4921.75275,6782.538161,10321.25372,3538.715562,7902.715562,2.097068717,71,4364,2081,156,955,935,2046,812,715,"list(list(c(-105.100595, -105.10059, -105.083706, -105.083569, -105.083207, -105.081832, -105.081686, -105.081698, -105.081749, -105.081783, -105.081789, -105.081821, -105.086631, -105.089506, -105.092175, -105.091902, -105.092466, -105.096927, -105.100601, -105.100595, 39.852938, 39.856386, 39.856406, 39.8564, 39.856415, 39.856439, 39.856441, 39.853393, 39.851688, 39.847263, 39.847153, 39.841799, 39.841785, 39.844039, 39.848219, 39.848676, 39.849073, 39.849321, 39.850198, 39.852938)))"
R13,8059009835,494508.1079,2.3,3.5,1137368.648,1730778.378,1137.368648,1730.778378,3022.474325,4599.417451,1576.943126,5315.943126,2.65742715,13,3739,1407,94,324,989,1407,296,614,"list(list(c(-105.110369, -105.109678, -105.108882, -105.108743, -105.108589, -105.108423, -105.108153, -105.107719, -105.107731, -105.105307, -105.10059, -105.100595, -105.100601, -105.096927, -105.092466, -105.091902, -105.092175, -105.089506, -105.086631, -105.091324, -105.104379, -105.108166, -105.110089, -105.110043, -105.110048, -105.110369, 39.853536, 39.85417, 39.856112, 39.85622, 39.856319, 39.856404, 39.856507, 39.856596, 39.856395, 39.856421, 39.856386, 39.852938, 39.850198, 39.849321, 
39.849073, 39.848676, 39.848219, 39.844039, 39.841785, 39.841764, 39.841907, 39.84192, 39.841972, 39.851717, 39.853038, 39.853536)))"
