GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
08005087000,185,5264,2273,294,1025,870,2189,910,619,"list(list(c(-104.875309, -104.874196, -104.865962, -104.865962, -104.865963, -104.865953, -104.875268, -104.87528, -104.875281, -104.87529, -104.875309, 39.696505, 39.696472, 39.696559, 39.691896, 39.689467, 39.685652, 39.68567, 39.689243, 39.689292, 39.691715, 39.696505)))"
08005082400,63,4335,1542,289,587,565,1441,355,446,"list(list(c(-104.809938, -104.809933, -104.809927, -104.809923, -104.807665, -104.802858, -104.802676, -104.801063, -104.801012, -104.800808, -104.800532, -104.797771, -104.790994, -104.791006, -104.791018, -104.791036, -104.802237, -104.806267, -104.809946, -104.809938, 39.668884, 39.670692, 39.672997, 39.674809, 39.674731, 39.673935, 39.67596, 39.682141, 39.682332, 39.682144, 39.681418, 39.682123, 39.682099, 39.677832, 39.673665, 39.667559, 39.66756, 39.667434, 39.665845, 39.668884)))"
08005007704,91,5100,2047,315,1052,528,1895,593,464,"list(list(c(-104.861082, -104.859274, -104.856404, -104.855646, -104.854748, -104.853754, -104.852427, -104.849174, -104.84724, -104.847263, -104.847254, -104.847237, -104.850775, -104.854641, -104.860759, -104.861082, 39.713877, 39.715037, 39.714807, 39.714925, 39.717497, 39.717965, 39.718821, 39.721339, 39.721568, 39.718431, 39.715806, 39.711178, 39.711155, 39.71113, 39.711088, 39.713877)))"
08005084200,17,3760,1339,63,617,609,1289,172,428,"list(list(c(-104.791361, -104.791325, -104.788143, -104.787784, -104.782934, -104.779791, -104.779283, -104.777159, -104.774319, -104.772512, -104.769534, -104.765841, -104.763974, -104.76322, -104.779016, -104.782269, -104.784639, -104.791471, -104.791361, 39.644256, 39.64597, 39.645868, 39.645793, 39.642831, 39.642778, 39.64284, 39.643358, 39.646541, 39.647056, 39.643251, 39.642226, 39.64132, 39.638506, 39.638515, 39.63851, 39.638507, 39.638498, 39.644256)))"
08005081100,369,6289,2674,560,1383,555,2498,923,709,"list(list(c(-104.829172, -104.828824, -104.827024, -104.826947, -104.826689, -104.819356, -104.816632, -104.813105, -104.809989, -104.809924, -104.809869, -104.819253, -104.829497, -104.829172, 39.701224, 39.704534, 39.709355, 39.71116, 39.71116, 39.711138, 39.710722, 39.708678, 39.708627, 39.700991, 39.696602, 39.696594, 39.69662, 39.701224)))"
08005080200,117,6439,2265,213,643,1333,2189,475,772,"list(list(c(-104.865962, -104.865962, -104.854207, -104.847152, -104.847197, -104.847219, -104.847241, -104.856614, -104.865942, -104.865953, -104.865963, -104.865962, 39.691896, 39.696559, 39.696587, 39.696603, 39.689306, 39.685686, 39.682063, 39.682053, 39.68202, 39.685652, 39.689467, 39.691896)))"
08005084500,46,2994,1236,79,567,512,1158,263,488,"list(list(c(-104.791109, -104.78975, -104.782184, -104.780606, -104.777427, -104.777342, -104.779093, -104.784386, -104.791217, -104.791109, 39.660307, 39.660262, 39.658152, 39.657816, 39.657979, 39.657138, 39.653119, 39.653109, 39.653127, 39.660307)))"
08005084100,35,4623,1606,195,617,761,1573,257,599,"list(list(c(-104.791248, -104.791217, -104.784386, -104.779093, -104.777441, -104.772456, -104.772512, -104.774319, -104.777159, -104.779283, -104.779791, -104.782934, -104.787784, -104.788143, -104.791325, -104.791248, 39.649809, 39.653127, 39.653109, 39.653119, 39.653132, 39.653109, 39.647056, 39.646541, 39.643358, 39.64284, 39.642778, 39.642831, 39.645793, 39.645868, 39.64597, 39.649809)))"
08031004405,516,8976,4188,501,1204,2294,3999,1497,1123,"list(list(c(-104.903534, -104.903494, -104.903407, -104.903458, -104.891337, -104.884708, -104.884933, -104.886613, -104.881934, -104.879735, -104.87533, -104.87534, -104.87534, -104.874947, -104.87432, -104.870831, -104.870653, -104.875373, -104.879022, -104.884017, -104.885315, -104.892062, -104.892914, -104.903494, -104.903454, -104.903705, -104.903534, 39.722384, 39.725253, 39.725641, 39.732894, 39.732854, 39.732846, 39.730442, 39.729219, 39.72496, 39.725623, 39.725576, 39.720134, 39.719711, 
39.71845, 39.718201, 39.718176, 39.710169, 39.709029, 39.708157, 39.707029, 39.707172, 39.711143, 39.711307, 39.711281, 39.713323, 39.717058, 39.722384)))"
08005080300,131,5626,2342,247,932,1126,2305,744,768,"list(list(c(-104.865986, -104.865942, -104.856614, -104.847241, -104.847254, -104.847267, -104.847258, -104.850192, -104.856586, -104.86075, -104.862117, -104.866051, -104.865986, 39.674767, 39.68202, 39.682053, 39.682063, 39.678403, 39.674797, 39.66755, 39.667545, 39.667535, 39.667526, 39.667524, 39.670847, 39.674767)))"
08005007703,149,4614,1657,254,702,641,1597,517,431,"list(list(c(-104.86593, -104.865925, -104.865906, -104.856925, -104.84721, -104.843168, -104.843452, -104.844086, -104.847233, -104.84724, -104.849174, -104.852427, -104.853754, -104.854748, -104.855646, -104.856404, -104.859274, -104.861082, -104.860759, -104.865971, -104.86593, 39.720126, 39.721419, 39.725571, 39.725573, 39.725683, 39.725675, 39.723963, 39.723253, 39.722544, 39.721568, 39.721339, 39.718821, 39.717965, 39.717497, 39.714925, 39.714807, 39.715037, 39.713877, 39.711088, 39.711053, 
39.720126)))"
08005085700,37,4511,1799,195,810,673,1678,484,527,"list(list(c(-104.791509, -104.791471, -104.784639, -104.782269, -104.78396, -104.781159, -104.778849, -104.778219, -104.778093, -104.775922, -104.774728, -104.772502, -104.772629, -104.768074, -104.767394, -104.767229, -104.772824, -104.786049, -104.786395, -104.788079, -104.791531, -104.791509, 39.630657, 39.638498, 39.638507, 39.63851, 39.634543, 39.631985, 39.630964, 39.630776, 39.629215, 39.626424, 39.626283, 39.625328, 39.625143, 39.624794, 39.623986, 39.623788, 39.623978, 39.623966, 39.624149, 
39.624752, 39.626099, 39.630657)))"
08005080500,37,3496,1717,268,651,741,1660,628,696,"list(list(c(-104.847267, -104.839279, -104.837822, -104.836256, -104.834977, -104.828919, -104.828964, -104.830182, -104.836685, -104.83831, -104.847258, -104.847267, 39.674797, 39.674969, 39.674999, 39.674983, 39.674964, 39.674873, 39.671009, 39.667601, 39.667582, 39.667577, 39.66755, 39.674797)))"
