zonetype,GEOID,zone_SF,existing_FAR,new_FAR,existing_building_SF,max_building_SF,existing_zone_hh,new_zone_hh,existing_zone_population,new_zone_population,increase_population_totract,new_total_tract_population,avg_hhsize_existing,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
R4,8005087000,,,,,,,,,,,,,185,5264,2273,294,1025,870,2189,910,619,"list(list(c(-104.875309, -104.874196, -104.865962, -104.865962, -104.865963, -104.865953, -104.875268, -104.87528, -104.875281, -104.87529, -104.875309, 39.696505, 39.696472, 39.696559, 39.691896, 39.689467, 39.685652, 39.68567, 39.689243, 39.689292, 39.691715, 39.696505)))"
R4,8005080200,,,,,,,,,,,,,117,6439,2265,213,643,1333,2189,475,772,"list(list(c(-104.865962, -104.865962, -104.854207, -104.847152, -104.847197, -104.847219, -104.847241, -104.856614, -104.865942, -104.865953, -104.865963, -104.865962, 39.691896, 39.696559, 39.696587, 39.696603, 39.689306, 39.685686, 39.682063, 39.682053, 39.68202, 39.685652, 39.689467, 39.691896)))"
R4,8031004405,,,,,,,,,,,,,516,8976,4188,501,1204,2294,3999,1497,1123,"list(list(c(-104.903534, -104.903494, -104.903407, -104.903458, -104.891337, -104.884708, -104.884933, -104.886613, -104.881934, -104.879735, -104.87533, -104.87534, -104.87534, -104.874947, -104.87432, -104.870831, -104.870653, -104.875373, -104.879022, -104.884017, -104.885315, -104.892062, -104.892914, -104.903494, -104.903454, -104.903705, -104.903534, 39.722384, 39.725253, 39.725641, 39.732894, 39.732854, 39.732846, 39.730442, 39.729219, 39.72496, 39.725623, 39.725576, 39.720134, 39.719711, 
39.71845, 39.718201, 39.718176, 39.710169, 39.709029, 39.708157, 39.707029, 39.707172, 39.711143, 39.711307, 39.711281, 39.713323, 39.717058, 39.722384)))"
R4,8005007703,,,,,,,,,,,,,149,4614,1657,254,702,641,1597,517,431,"list(list(c(-104.86593, -104.865925, -104.865906, -104.856925, -104.84721, -104.843168, -104.843452, -104.844086, -104.847233, -104.84724, -104.849174, -104.852427, -104.853754, -104.854748, -104.855646, -104.856404, -104.859274, -104.861082, -104.860759, -104.865971, -104.86593, 39.720126, 39.721419, 39.725571, 39.725573, 39.725683, 39.725675, 39.723963, 39.723253, 39.722544, 39.721568, 39.721339, 39.718821, 39.717965, 39.717497, 39.714925, 39.714807, 39.715037, 39.713877, 39.711088, 39.711053, 
39.720126)))"
R4,8001008200,,,,,,,,,,,,,89,6576,1561,212,681,668,1561,182,431,"list(list(c(-104.856523, -104.837588, -104.832961, -104.833009, -104.828323, -104.82811, -104.827927, -104.819333, -104.819431, -104.825852, -104.826697, -104.829058, -104.833039, -104.833049, -104.846824, -104.84694, -104.84823, -104.85122, -104.856431, -104.856631, -104.856523, 39.768391, 39.766873, 39.766195, 39.769177, 39.769156, 39.767655, 39.764201, 39.761912, 39.75111, 39.75112, 39.750802, 39.751293, 39.751483, 39.754879, 39.754888, 39.754687, 39.756485, 39.756982, 39.758387, 39.760286, 39.768391
)))"
R4,8005007201,,,,,,,,,,,,,96,4083,1351,468,452,362,1282,431,309,"list(list(c(-104.87534, -104.87533, -104.870624, -104.87059, -104.865859, -104.865906, -104.865925, -104.86593, -104.865971, -104.870653, -104.870831, -104.87432, -104.874947, -104.87534, -104.87534, 39.720134, 39.725576, 39.725574, 39.732854, 39.732857, 39.725571, 39.721419, 39.720126, 39.711053, 39.710169, 39.718176, 39.718201, 39.71845, 39.719711, 39.720134)))"
R4,8005007301,,,,,,,,,,,,,108,2278,1070,147,565,235,947,324,353,"list(list(c(-104.847013, -104.843254, -104.837603, -104.82546, -104.825503, -104.828239, -104.837642, -104.847094, -104.847013, 39.740206, 39.740307, 39.740302, 39.74029, 39.736261, 39.736091, 39.736108, 39.736135, 39.740206)))"
R4,8005007600,,,,,,,,,,,,,148,3721,1313,375,536,293,1204,337,355,"list(list(c(-104.847185, -104.844286, -104.837858, -104.835282, -104.831032, -104.828244, -104.828239, -104.825503, -104.82485, -104.828261, -104.835238, -104.843168, -104.84721, -104.847185, 39.72892, 39.728341, 39.731189, 39.732354, 39.734209, 39.734362, 39.736091, 39.736261, 39.725624, 39.725627, 39.72565, 39.725675, 39.725683, 39.72892)))"
R4,8005083700,,,,,,,,,,,,,76,4518,1531,53,545,895,1493,257,653,"list(list(c(-104.837531, -104.831731, -104.828784, -104.82582, -104.823337, -104.82197, -104.819609, -104.81916, -104.815791, -104.812702, -104.810309, -104.810349, -104.810377, -104.810956, -104.810985, -104.816398, -104.816681, -104.819817, -104.819262, -104.817181, -104.810614, -104.810501, -104.809906, -104.812623, -104.8164, -104.816527, -104.817084, -104.817932, -104.819931, -104.823038, -104.822111, -104.823775, -104.825438, -104.827606, -104.82988, -104.83249, -104.834448, -104.834111, -104.832832, 
-104.834732, -104.839432, -104.837531, 39.631888, 39.629788, 39.630302, 39.630822, 39.631328, 39.631306, 39.631319, 39.629555, 39.629962, 39.631432, 39.631359, 39.623874, 39.620354, 39.619148, 39.619125, 39.618098, 39.619145, 39.618898, 39.617833, 39.615803, 39.610542, 39.610359, 39.609184, 39.608045, 39.604647, 39.604529, 39.605028, 39.605789, 39.60574, 39.6055, 39.612047, 39.613542, 39.613373, 39.611879, 39.611479, 39.613289, 39.61611, 39.618447, 39.621489, 39.626189, 39.627389, 39.631888)))"
R4,8005081000,,,,,,,,,,,,,178,5741,2481,509,1288,512,2309,958,570,"list(list(c(-104.826874, -104.826562, -104.82485, -104.819379, -104.817549, -104.810386, -104.809784, -104.8098, -104.809778, -104.809881, -104.809967, -104.810002, -104.809989, -104.813105, -104.816632, -104.819356, -104.826689, -104.826947, -104.826874, 39.717301, 39.71968, 39.725624, 39.725619, 39.725618, 39.725611, 39.722535, 39.718363, 39.714804, 39.714082, 39.713555, 39.711584, 39.708627, 39.708678, 39.710722, 39.711138, 39.71116, 39.71116, 39.717301)))"
R4,8031007006,,,,,,,,,,,,,294,5228,2701,391,1672,437,2500,1146,650,"list(list(c(-104.877497, -104.875658, -104.869156, -104.867541, -104.866702, -104.86637, -104.866334, -104.861022, -104.858978, -104.856441, -104.855437, -104.853716, -104.848332, -104.848336, -104.84773, -104.847119, -104.852944, -104.856038, -104.857203, -104.876224, -104.876155, -104.876306, -104.877497, 39.653052, 39.653049, 39.653233, 39.654055, 39.655109, 39.659355, 39.660309, 39.660281, 39.66034, 39.66034, 39.660804, 39.660072, 39.659161, 39.657891, 39.657101, 39.65678, 39.655706, 39.654178, 
39.653246, 39.644301, 39.645907, 39.652295, 39.653052)))"
R4,8005083800,,,,,,,,,,,,,37,2892,1158,83,493,512,1088,287,403,"list(list(c(-104.819977, -104.816758, -104.814622, -104.80995, -104.810021, -104.810148, -104.810196, -104.810235, -104.81027, -104.814866, -104.819657, -104.819617, -104.819328, -104.818624, -104.819977, 39.653136, 39.653143, 39.653151, 39.65315, 39.650986, 39.644419, 39.642136, 39.640225, 39.638491, 39.63851, 39.638531, 39.641778, 39.649627, 39.65054, 39.653136)))"
R4,8005007702,,,,,,,,,,,,,51,4199,1609,136,732,631,1499,411,494,"list(list(c(-104.847263, -104.84724, -104.847233, -104.844086, -104.843452, -104.843168, -104.835238, -104.828261, -104.82485, -104.826562, -104.826874, -104.826947, -104.847237, -104.847254, -104.847263, 39.718431, 39.721568, 39.722544, 39.723253, 39.723963, 39.725675, 39.72565, 39.725627, 39.725624, 39.71968, 39.717301, 39.71116, 39.711178, 39.715806, 39.718431)))"
R4,8005007302,,,,,,,,,,,,,468,5121,1980,524,1033,254,1811,604,493,"list(list(c(-104.884646, -104.875227, -104.865803, -104.858778, -104.856413, -104.851719, -104.847091, -104.847013, -104.847094, -104.84821, -104.858806, -104.865834, -104.865834, -104.875255, -104.879959, -104.884659, -104.884646, 39.740156, 39.740212, 39.7402, 39.740207, 39.740214, 39.740206, 39.740207, 39.740206, 39.736135, 39.736474, 39.736477, 39.736477, 39.736434, 39.736455, 39.737276, 39.737274, 39.740156)))"
R4,8005081900,,,,,,,,,,,,,354,6903,2482,788,1074,511,2373,551,746,"list(list(c(-104.810386, -104.809987, -104.810007, -104.810022, -104.800625, -104.791219, -104.791202, -104.791164, -104.800569, -104.810293, -104.810386, 39.725611, 39.728498, 39.733271, 39.740141, 39.740281, 39.740269, 39.732891, 39.72563, 39.725621, 39.725611, 39.725611)))"
R4,8005006854,,,,,,,,,,,,,117,3097,1268,163,432,648,1243,349,468,"list(list(c(-104.885231, -104.885112, -104.880329, -104.880368, -104.880313, -104.880313, -104.88014, -104.877497, -104.876306, -104.876155, -104.876224, -104.857203, -104.854232, -104.848533, -104.847233, -104.849333, -104.847333, -104.841332, -104.837531, -104.839432, -104.834732, -104.832832, -104.834111, -104.834448, -104.83249, -104.82988, -104.827606, -104.825438, -104.823775, -104.822111, -104.823038, -104.819931, -104.817932, -104.817084, -104.816527, -104.815289, -104.815218, -104.818469, 
-104.824593, -104.826853, -104.828591, -104.828668, -104.831366, -104.839852, -104.841672, -104.844735, -104.847625, -104.84764, -104.847922, -104.852088, -104.852699, -104.859466, -104.864145, -104.866452, -104.86881, -104.875912, -104.885265, -104.885231, 39.631345, 39.639262, 39.641491, 39.642193, 39.645889, 39.645902, 39.653057, 39.653052, 39.652295, 39.645907, 39.644301, 39.653246, 39.650887, 39.649988, 39.648288, 39.644988, 39.641889, 39.637589, 39.631888, 39.627389, 39.626189, 39.621489, 39.618447, 
39.61611, 39.613289, 39.611479, 39.611879, 39.613373, 39.613542, 39.612047, 39.6055, 39.60574, 39.605789, 39.605028, 39.604529, 39.603113, 39.602181, 39.602165, 39.602186, 39.602187, 39.605746, 39.605904, 39.610704, 39.619297, 39.622083, 39.624085, 39.624087, 39.624087, 39.624087, 39.624087, 39.624087, 39.624123, 39.624094, 39.624119, 39.624085, 39.624163, 39.624083, 39.631345)))"
R4,8005080100,,,,,,,,,,,,,409,4051,1949,597,800,480,1877,829,616,"list(list(c(-104.870648, -104.868932, -104.865967, -104.865967, -104.85514, -104.850169, -104.847193, -104.847152, -104.854207, -104.865962, -104.865964, -104.870662, -104.870648, 39.700535, 39.702987, 39.704318, 39.703807, 39.703841, 39.703117, 39.703331, 39.696603, 39.696587, 39.696559, 39.699086, 39.698475, 39.700535)))"
R4,8005080700,,,,,,,,,,,,,208,5801,1952,274,925,753,1952,611,544,"list(list(c(-104.847219, -104.847197, -104.847152, -104.840949, -104.829497, -104.828831, -104.828858, -104.836287, -104.841243, -104.847241, -104.847219, 39.685686, 39.689306, 39.696603, 39.696609, 39.69662, 39.689377, 39.682122, 39.682092, 39.682077, 39.682063, 39.685686)))"
R4,8005007500,,,,,,,,,,,,,32,2559,788,93,351,328,772,145,235,"list(list(c(-104.847152, -104.847094, -104.837642, -104.828239, -104.828244, -104.831032, -104.835282, -104.837858, -104.844286, -104.847185, -104.847152, 39.733002, 39.736135, 39.736108, 39.736091, 39.734362, 39.734209, 39.732354, 39.731189, 39.728341, 39.72892, 39.733002)))"
R4,8005080800,,,,,,,,,,,,,41,3699,1156,168,555,397,1120,258,315,"list(list(c(-104.847193, -104.842896, -104.839247, -104.836219, -104.830143, -104.829172, -104.829497, -104.840949, -104.847152, -104.847193, 39.703331, 39.703132, 39.701916, 39.701018, 39.701405, 39.701224, 39.69662, 39.696609, 39.696603, 39.703331)))"
