zone_type,GEOID,zone_SF,existing_FAR,new_FAR,existing_building_SF,max_building_SF,existing_zone_hh,new_zone_hh,existing_zone_population,new_zone_population,increase_population_totract,new_total_tract_population,avg_hhsize_existing,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
3,8005004952,72596,1.5,2.25,108894,163341,108.894,163.341,173.070454,259.6056809,86.53522698,3279.535227,1.589347934,93,3193,2009,257,953,631,1841,912,770,"list(list(c(-104.940691, -104.940738, -104.940687, -104.931648, -104.93157, -104.926981, -104.929542, -104.92959, -104.929119, -104.929118, -104.928287, -104.928287, -104.926963, -104.926962, -104.926924, -104.928974, -104.930257, -104.931423, -104.932868, -104.93384, -104.933996, -104.931654, -104.931714, -104.934135, -104.934076, -104.934027, -104.936233, -104.936213, -104.939539, -104.940485, -104.940633, -104.940612, -104.938635, -104.93871, -104.940271, -104.940278, -104.940738, -104.940691, 
39.703813, 39.706344, 39.711221, 39.711098, 39.709096, 39.708004, 39.708456, 39.706414, 39.70641, 39.706787, 39.706785, 39.706692, 39.706699, 39.706559, 39.7036, 39.703843, 39.703838, 39.703789, 39.702182, 39.70416, 39.70138, 39.700221, 39.700208, 39.700181, 39.698436, 39.6966, 39.696599, 39.694782, 39.694688, 39.695664, 39.694755, 39.69657, 39.696605, 39.698182, 39.698199, 39.697949, 39.697956, 39.703813)))"
3,8031000202,647823.5,1.5,2.25,971735.25,1457602.875,971.73525,1457.602875,2136.537547,3204.806321,1068.268774,5074.268774,2.198682766,205,4006,1822,423,605,745,1773,628,578,"list(list(c(-105.025248, -105.025135, -105.020008, -105.015833, -105.006425, -105.002581, -104.998334, -104.998194, -105.004178, -105.006433, -105.01118, -105.014685, -105.015854, -105.017421, -105.025275, -105.025248, 39.780263, 39.784226, 39.783606, 39.78357, 39.783141, 39.783501, 39.782399, 39.776547, 39.776556, 39.776537, 39.776554, 39.776563, 39.776564, 39.776573, 39.776643, 39.780263)))"
3,8031000301,180899.6,1.5,2.25,271349.4,407024.1,271.3494,407.0241,548.7765777,823.1648666,274.3882889,6143.388289,2.022398346,397,5869,2902,460,755,1593,2808,1093,1008,"list(list(c(-105.053245, -105.046286, -105.043972, -105.042727, -105.040433, -105.034615, -105.029941, -105.025275, -105.025278, -105.025238, -105.029969, -105.034643, -105.039337, -105.040499, -105.044012, -105.046285, -105.05324, -105.053241, -105.053245, 39.776583, 39.77657, 39.776573, 39.776701, 39.776688, 39.776751, 39.776684, 39.776643, 39.772927, 39.769288, 39.769402, 39.769547, 39.769432, 39.769456, 39.769362, 39.76938, 39.769333, 39.772938, 39.776583)))"
5,8031000303,"106,304",2.5,3.75,265760,398640,265.76,398.64,467.8378868,701.7568302,233.9189434,4898.918943,1.760377358,146,4665,2650,303,604,1358,2265,912,857,"list(list(c(-105.039337, -105.034643, -105.029969, -105.025238, -105.025287, -105.025233, -105.025281, -105.025241, -105.025233, -105.02993, -105.034613, -105.039303, -105.03931, -105.039337, 39.769432, 39.769547, 39.769402, 39.769288, 39.766078, 39.765609, 39.764664, 39.762021, 39.758476, 39.758485, 39.758518, 39.758499, 39.763957, 39.769432)))"
3,8031000402,"2,649,560",1.5,2.25,3974340,5961510,3974.34,5961.51,6821.628358,10232.44254,3410.814179,9160.814179,1.71641791,372,5750,3350,580,725,1783,3088,1420,1158,"list(list(c(-105.025238, -105.018975, -105.017422, -105.014711, -105.014399, -105.011202, -105.0112, -105.011185, -105.011008, -105.008965, -105.012692, -105.014639, -105.015835, -105.020538, -105.021368, -105.025233, -105.025241, -105.025281, -105.025233, -105.025287, -105.025238, 39.769288, 39.76927, 39.769272, 39.769293, 39.769292, 39.769286, 39.765639, 39.762037, 39.759643, 39.758085, 39.755368, 39.756078, 39.756303, 39.758038, 39.75846, 39.758476, 39.762021, 39.764664, 39.765609, 39.766078, 
39.769288)))"
5,8031000402,26017,2.5,3.75,65042.5,97563.75,65.0425,97.56375,111.6401119,167.4601679,55.82005597,5805.820056,1.71641791,372,5750,3350,580,725,1783,3088,1420,1158,"list(list(c(-105.025238, -105.018975, -105.017422, -105.014711, -105.014399, -105.011202, -105.0112, -105.011185, -105.011008, -105.008965, -105.012692, -105.014639, -105.015835, -105.020538, -105.021368, -105.025233, -105.025241, -105.025281, -105.025233, -105.025287, -105.025238, 39.769288, 39.76927, 39.769272, 39.769293, 39.769292, 39.769286, 39.765639, 39.762037, 39.759643, 39.758085, 39.755368, 39.756078, 39.756303, 39.758038, 39.75846, 39.758476, 39.762021, 39.764664, 39.765609, 39.766078, 
39.769288)))"
,8031000402,,,,4039382.5,6059073.75,4039.3825,6059.07375,6933.26847,10399.90271,3466.634235,14966.63424,1.71641791,372,5750,3350,580,725,1783,3088,1420,1158,"list(list(c(-105.025238, -105.018975, -105.017422, -105.014711, -105.014399, -105.011202, -105.0112, -105.011185, -105.011008, -105.008965, -105.012692, -105.014639, -105.015835, -105.020538, -105.021368, -105.025233, -105.025241, -105.025281, -105.025233, -105.025287, -105.025238, 39.769288, 39.76927, 39.769272, 39.769293, 39.769292, 39.769286, 39.765639, 39.762037, 39.759643, 39.758085, 39.755368, 39.756078, 39.756303, 39.758038, 39.75846, 39.758476, 39.762021, 39.764664, 39.765609, 39.766078, 
39.769288)))"
3,8031000600,"3,147,197",1.5,2.25,4720795.5,7081193.25,4720.7955,7081.19325,7461.764626,11192.64694,3730.882313,7220.882313,1.580615942,213,3490,2208,443,615,1001,2059,996,858,"list(list(c(-105.025222, -105.025233, -105.021368, -105.020538, -105.015835, -105.014639, -105.012692, -105.011707, -105.009489, -105.012528, -105.015133, -105.015677, -105.016261, -105.018982, -105.020549, -105.020509, -105.023616, -105.025213, -105.025268, -105.025222, 39.754837, 39.758476, 39.75846, 39.758038, 39.756303, 39.756078, 39.755368, 39.755009, 39.753926, 39.751401, 39.749855, 39.744744, 39.743389, 39.746384, 39.746483, 39.747599, 39.747588, 39.746363, 39.749998, 39.754837)))"
5,8031000600,"85,622",2.5,3.75,214055,321082.5,214.055,321.0825,338.3387455,507.5081182,169.1693727,3659.169373,1.580615942,213,3490,2208,443,615,1001,2059,996,858,"list(list(c(-105.025222, -105.025233, -105.021368, -105.020538, -105.015835, -105.014639, -105.012692, -105.011707, -105.009489, -105.012528, -105.015133, -105.015677, -105.016261, -105.018982, -105.020549, -105.020509, -105.023616, -105.025213, -105.025268, -105.025222, 39.754837, 39.758476, 39.75846, 39.758038, 39.756303, 39.756078, 39.755368, 39.755009, 39.753926, 39.751401, 39.749855, 39.744744, 39.743389, 39.746384, 39.746483, 39.747599, 39.747588, 39.746363, 39.749998, 39.754837)))"
8,8031000600,29391,4,5,117564,146955,117.564,146.955,185.8235326,232.2794158,46.45588315,3536.455883,1.580615942,213,3490,2208,443,615,1001,2059,996,858,"list(list(c(-105.025222, -105.025233, -105.021368, -105.020538, -105.015835, -105.014639, -105.012692, -105.011707, -105.009489, -105.012528, -105.015133, -105.015677, -105.016261, -105.018982, -105.020549, -105.020509, -105.023616, -105.025213, -105.025268, -105.025222, 39.754837, 39.758476, 39.75846, 39.758038, 39.756303, 39.756078, 39.755368, 39.755009, 39.753926, 39.751401, 39.749855, 39.744744, 39.743389, 39.746384, 39.746483, 39.747599, 39.747588, 39.746363, 39.749998, 39.754837)))"
