GEOID,zone_SF,existing_FAR,new_FAR,existing_building_SF,max_building_SF,existing_zone_hh,new_zone_hh,existing_zone_population,new_zone_population,increase_population_totract,new_total_tract_population,avg_hhsize_existing,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
8001008508,1321408.068,3.6,4.5,4757069.046,5946336.307,4757.069046,5946.336307,13929.8377,17412.29713,3482.459425,9154.459425,2.928239546,70,5672,1937,166,688,1061,1915,450,577,"list(list(c(-104.958888, -104.958158, -104.953298, -104.940188, -104.940179, -104.940174, -104.940177, -104.940237, -104.948226, -104.948913, -104.949578, -104.958839, -104.958888, 39.907543, 39.913941, 39.91391, 39.913949, 39.907607, 39.904092, 39.899373, 39.899371, 39.899404, 39.899401, 39.899398, 39.899467, 39.907543)))"
8001008526,"3,149,438.78",3.6,4.5,11337979.61,14172474.51,11337.97961,14172.47451,28406.56847,35508.21059,7101.642119,14016.64212,2.505434783,84,6915,2760,258,748,1621,2627,650,990,"list(list(c(-104.988107, -104.978079, -104.967273, -104.959369, -104.959291, -104.959277, -104.965621, -104.965973, -104.965857, -104.965202, -104.968827, -104.97788, -104.987807, -104.987976, -104.988107, 39.957571, 39.957518, 39.957479, 39.957458, 39.942847, 39.941908, 39.932931, 39.930253, 39.929794, 39.928447, 39.928465, 39.928539, 39.928543, 39.943074, 39.957571)))"
8001008529,2958262.068,3.6,4.5,10649743.44,13312179.31,10649.74344,13312.17931,22470.38529,28087.98161,5617.596322,13063.59632,2.10994616,187,7446,3529,366,1697,1307,3370,1227,1158,"list(list(c(-104.987921, -104.987807, -104.97788, -104.968827, -104.965202, -104.963836, -104.959085, -104.949534, -104.946861, -104.943787, -104.940213, -104.940188, -104.940186, -104.940188, -104.953298, -104.958158, -104.958604, -104.967938, -104.968453, -104.977777, -104.986556, -104.987089, -104.98987, -104.987921, 39.919377, 39.928543, 39.928539, 39.928465, 39.928447, 39.928487, 39.928477, 39.928946, 39.927078, 39.928133, 39.92835, 39.920913, 39.918403, 39.913949, 39.91391, 39.913941, 39.913945, 
39.914047, 39.91405, 39.914152, 39.914149, 39.914162, 39.914064, 39.919377)))"
8001008533,"1,745,572.70",3.6,4.5,6284061.72,7855077.15,6284.06172,7855.07715,16636.71694,20795.89618,4159.179236,12194.17924,2.647446458,96,8035,3035,187,1309,1402,2898,938,754,"list(list(c(-104.966387, -104.966336, -104.958839, -104.949578, -104.948913, -104.948226, -104.940237, -104.940177, -104.940183, -104.940181, -104.940181, -104.940165, -104.940325, -104.94458, -104.945923, -104.946122, -104.946588, -104.957671, -104.95892, -104.962588, -104.962658, -104.96465, -104.966189, -104.966428, -104.966387, 39.899523, 39.899523, 39.899467, 39.899398, 39.899401, 39.899404, 39.899371, 39.899373, 39.893974, 39.89226, 39.892116, 39.884978, 39.884983, 39.885008, 39.885025, 39.885027, 
39.885033, 39.885025, 39.885117, 39.885176, 39.887386, 39.8906, 39.892998, 39.894894, 39.899523)))"
8001008540,"1,140,514.50",3.6,4.5,4105852.2,5132315.25,4105.8522,5132.31525,12200.55045,15250.68806,3050.137612,11079.13761,2.971502591,38,8029,2702,25,472,2082,2579,402,640,"list(list(c(-104.922064, -104.921893, -104.921822, -104.920806, -104.920594, -104.919103, -104.912658, -104.912573, -104.911366, -104.911658, -104.90458, -104.904385, -104.90395, -104.903479, -104.903291, -104.903041, -104.901563, -104.90059, -104.900304, -104.899318, -104.899225, -104.899474, -104.899729, -104.893305, -104.893287, -104.891635, -104.884283, -104.884411, -104.884049, -104.881419, -104.868156, -104.865851, -104.859012, -104.859644, -104.857154, -104.859994, -104.859831, -104.861378, 
-104.859624, -104.859786, -104.863987, -104.865112, -104.864039, -104.864447, -104.866423, -104.866356, -104.867423, -104.872309, -104.87463, -104.883737, -104.884078, -104.885013, -104.903055, -104.921886, -104.921978, -104.922022, -104.92203, -104.922064, 39.957441, 39.957433, 39.957552, 39.957506, 39.957478, 39.95741, 39.957488, 39.947473, 39.946386, 39.948, 39.949469, 39.949383, 39.949135, 39.948921, 39.948857, 39.948729, 39.947916, 39.947706, 39.947794, 39.949172, 39.949639, 39.949709, 39.950165, 
39.951003, 39.943109, 39.943113, 39.943138, 39.950363, 39.955747, 39.954949, 39.952179, 39.951267, 39.947108, 39.94687, 39.944877, 39.943099, 39.938264, 39.935153, 39.933397, 39.932244, 39.931708, 39.931038, 39.929198, 39.928191, 39.927216, 39.92456, 39.922782, 39.924747, 39.925072, 39.925048, 39.928772, 39.928657, 39.928581, 39.928462, 39.943013, 39.950129, 39.952011, 39.957441)))"
8001008545,"895,162.54",3.6,4.5,3222585.144,4028231.43,3222.585144,4028.23143,10232.56795,12790.70994,2558.141988,9696.141988,3.175266904,55,7138,2248,84,423,1696,2203,240,841,"list(list(c(-104.965973, -104.965621, -104.959277, -104.959291, -104.951357, -104.940315, -104.940275, -104.940243, -104.940234, -104.940254, -104.94023, -104.940213, -104.943787, -104.946861, -104.949534, -104.959085, -104.963836, -104.965202, -104.965857, -104.965973, 39.930253, 39.932931, 39.941908, 39.942847, 39.942895, 39.942834, 39.942834, 39.942834, 39.939682, 39.935684, 39.934028, 39.92835, 39.928133, 39.927078, 39.928946, 39.928477, 39.928487, 39.928447, 39.929794, 39.930253)))"
8001008550,"645,170.58",3.6,4.5,2322614.088,2903267.61,2322.614088,2903.26761,6917.350653,8646.688317,1729.337663,9949.337663,2.97826087,55,8220,2760,176,737,1720,2633,510,727,"list(list(c(-104.940188, -104.932755, -104.927849, -104.921904, -104.917731, -104.903052, -104.903182, -104.906109, -104.907266, -104.910345, -104.913152, -104.91548, -104.917641, -104.918206, -104.921817, -104.922, -104.92209, -104.92967, -104.940177, -104.940174, -104.940179, -104.940188, 39.913949, 39.913975, 39.914, 39.914034, 39.914066, 39.914284, 39.910221, 39.908015, 39.907091, 39.903953, 39.901186, 39.899732, 39.899778, 39.899745, 39.899749, 39.899749, 39.899747, 39.899583, 39.899373, 39.904092, 
39.907607, 39.913949)))"
8001009001,696745.4528,3.6,4.5,2508283.63,3135354.538,2508.28363,3135.354538,7213.151363,9016.439204,1803.287841,6223.287841,2.875731945,264,4420,1537,314,635,515,1464,346,378,"list(list(c(-104.987015, -104.983745, -104.977825, -104.968362, -104.967276, -104.959091, -104.954489, -104.954139, -104.954328, -104.955654, -104.954982, -104.957405, -104.958385, -104.963394, -104.968368, -104.96837, -104.970928, -104.972269, -104.977352, -104.977808, -104.977809, -104.985471, -104.98571, -104.986513, -104.98725, -104.987015, 39.856311, 39.856333, 39.856333, 39.856254, 39.856234, 39.856188, 39.856159, 39.856159, 39.852087, 39.851645, 39.849323, 39.849616, 39.849319, 39.849345, 
39.849367, 39.849305, 39.849324, 39.84992, 39.849142, 39.849025, 39.849077, 39.849073, 39.849077, 39.852697, 39.856309, 39.856311)))"
8001009103,"468,056.57",3.6,4.5,1685003.652,2106254.565,1685.003652,2106.254565,5954.574659,7443.218323,1488.643665,5923.643665,3.533864542,33,4435,1255,164,685,299,1148,147,213,"list(list(c(-104.940234, -104.938037, -104.931315, -104.931268, -104.931305, -104.93131, -104.931332, -104.931334, -104.931353, -104.931355, -104.931354, -104.939437, -104.940161, -104.940165, -104.938338, -104.928025, -104.927601, -104.917314, -104.912896, -104.912709, -104.908207, -104.903092, -104.902238, -104.901559, -104.902078, -104.902496, -104.90306, -104.903311, -104.903327, -104.903889, -104.904895, -104.90711, -104.907867, -104.910368, -104.912496, -104.913508, -104.914512, -104.916115, 
-104.919218, -104.920305, -104.922001, -104.927748, -104.928581, -104.928809, -104.927905, -104.929547, -104.929719, -104.930213, -104.930583, -104.93096, -104.93154, -104.934666, -104.935385, -104.935942, -104.936198, -104.936662, -104.937165, -104.938009, -104.940259, -104.940234, 39.858659, 39.85876, 39.867274, 39.870635, 39.873732, 39.874164, 39.875984, 39.876119, 39.877694, 39.877821, 39.877908, 39.877587, 39.87738, 39.884978, 39.884922, 39.885178, 39.885183, 39.885242, 39.885239, 39.885239, 
39.885239, 39.88524, 39.885241, 39.883538, 39.881654, 39.881069, 39.881078, 39.881077, 39.879773, 39.878075, 39.876202, 39.874484, 39.874357, 39.874375, 39.874403, 39.874236, 39.873629, 39.872098, 39.870449, 39.86866, 39.866048, 39.864939, 39.864223, 39.863395, 39.860181, 39.858029, 39.85785, 39.857645, 39.857589, 39.857594, 39.857749, 39.858106, 39.858073, 39.858, 39.857912, 39.857667, 39.857475, 39.856089, 39.855951, 39.858659)))"
8001009104,"1,249,529.61",3.6,4.5,4498306.596,5622883.245,4498.306596,5622.883245,14047.53731,17559.42163,3511.884326,9866.884326,3.122850123,35,6355,2035,262,787,934,1983,353,638,"list(list(c(-104.954489, -104.953757, -104.947084, -104.943662, -104.942522, -104.940173, -104.940161, -104.939437, -104.931354, -104.931355, -104.931353, -104.931334, -104.931332, -104.93131, -104.931305, -104.931268, -104.931315, -104.938037, -104.940234, -104.940259, -104.949811, -104.954139, -104.954489, 39.856159, 39.857799, 39.867629, 39.867984, 39.870276, 39.871962, 39.87738, 39.877587, 39.877908, 39.877821, 39.877694, 39.876119, 39.875984, 39.874164, 39.873732, 39.870635, 39.867274, 39.85876, 
39.858659, 39.855951, 39.856109, 39.856159, 39.856159)))"
