GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
08001009325,98,5515,2548,213,908,1300,2421,632,1141,"list(list(c(-105.024981, -105.006111, -104.996727, -104.996649, -104.996647, -104.996632, -104.996632, -105.006096, -105.007444, -105.008355, -105.015532, -105.024939, -105.024859, -105.024853, -105.024861, -105.024981, 39.91423, 39.914068, 39.914053, 39.911527, 39.911424, 39.903307, 39.899724, 39.899715, 39.899713, 39.899712, 39.899657, 39.899625, 39.907718, 39.90848, 39.909485, 39.91423)))"
08001009309,151,4268,1626,399,663,564,1626,549,461,"list(list(c(-105.02482, -105.0194, -105.015339, -105.015407, -105.015413, -105.015432, -105.015448, -105.015501, -105.017192, -105.024782, -105.024786, -105.024787, -105.024773, -105.02482, 39.849073, 39.849061, 39.849043, 39.84449, 39.843932, 39.841738, 39.839515, 39.833622, 39.834027, 39.836195, 39.83824, 39.838541, 39.841789, 39.849073)))"
08001009501,118,3234,1183,284,532,367,1183,379,300,"list(list(c(-105.024782, -105.017192, -105.015501, -105.015502, -105.006034, -105.006097, -105.014221, -105.01554, -105.024799, -105.024782, 39.836195, 39.834027, 39.833622, 39.833554, 39.830837, 39.827292, 39.827292, 39.827288, 39.827272, 39.836195)))"
08001009607,106,4796,1994,474,780,565,1819,652,486,"list(list(c(-105.053271, -105.053262, -105.044494, -105.040556, -105.034351, -105.034387, -105.034473, -105.034505, -105.034588, -105.034697, -105.042792, -105.044018, -105.044025, -105.044099, -105.04411, -105.044071, -105.047796, -105.051293, -105.052982, -105.053281, -105.053271, 39.823666, 39.827273, 39.827285, 39.827284, 39.82729, 39.82405, 39.822122, 39.820168, 39.816478, 39.80431, 39.80457, 39.804354, 39.804448, 39.81282, 39.81745, 39.818795, 39.820096, 39.821357, 39.82184, 39.821859, 39.823666
)))"
08001009326,14,2817,1133,102,406,625,1133,297,496,"list(list(c(-105.024991, -105.024975, -105.024939, -105.015532, -105.015518, -105.015517, -105.02502, -105.024991, 39.890519, 39.893377, 39.899625, 39.899657, 39.892944, 39.885247, 39.885214, 39.890519)))"
08001009603,176,6273,2380,400,1291,537,2228,742,520,"list(list(c(-105.053289, -105.053228, -105.05182, -105.049826, -105.044282, -105.039078, -105.034287, -105.034294, -105.0343, -105.040555, -105.053266, -105.053259, -105.053236, -105.05321, -105.053188, -105.0529, -105.052847, -105.053339, -105.053289, 39.856764, 39.857111, 39.854771, 39.852339, 39.84682, 39.841859, 39.839031, 39.83827, 39.834539, 39.834531, 39.834527, 39.839969, 39.841807, 39.845763, 39.849649, 39.852042, 39.853229, 39.855978, 39.856764)))"
08001009604,183,4499,2049,373,925,575,1873,667,642,"list(list(c(-105.053266, -105.040555, -105.0343, -105.034294, -105.034287, -105.032549, -105.024782, -105.024799, -105.034351, -105.040556, -105.044494, -105.053262, -105.053266, 39.834527, 39.834531, 39.834539, 39.83827, 39.839031, 39.83837, 39.836195, 39.827272, 39.82729, 39.827284, 39.827285, 39.827273, 39.834527)))"
08001009401,98,5406,1841,258,806,741,1805,431,610,"list(list(c(-105.053263, -105.050556, -105.049895, -105.048816, -105.04057, -105.037624, -105.034369, -105.02874, -105.026352, -105.024918, -105.02482, -105.024773, -105.024787, -105.024786, -105.024782, -105.032549, -105.034287, -105.039078, -105.044282, -105.049826, -105.05182, -105.053228, -105.053298, -105.053263, 39.859948, 39.856419, 39.856379, 39.856363, 39.856313, 39.856298, 39.856263, 39.856273, 39.856276, 39.856274, 39.849073, 39.841789, 39.838541, 39.83824, 39.836195, 39.83837, 39.839031, 
39.841859, 39.84682, 39.852339, 39.854771, 39.857111, 39.858762, 39.859948)))"
08059010209,69,6694,2740,251,1261,1117,2629,724,1050,"list(list(c(-105.073354, -105.069664, -105.066446, -105.063491, -105.062703, -105.062549, -105.060663, -105.053236, -105.053259, -105.053266, -105.053262, -105.059997, -105.06224, -105.063954, -105.067376, -105.072045, -105.072074, -105.0721, -105.072144, -105.071064, -105.073354, 39.841825, 39.841235, 39.84115, 39.841162, 39.841235, 39.841249, 39.841686, 39.841807, 39.839969, 39.834527, 39.827273, 39.82671, 39.82727, 39.827344, 39.827335, 39.827309, 39.830504, 39.830898, 39.834952, 39.837184, 39.841825
)))"
08001009407,38,5133,1793,269,837,677,1783,492,423,"list(list(c(-105.053284, -105.053191, -105.041117, -105.034436, -105.026954, -105.026335, -105.025008, -105.024982, -105.024918, -105.026352, -105.02874, -105.034369, -105.037624, -105.04057, -105.048816, -105.049895, -105.050556, -105.053263, -105.053284, 39.860436, 39.86362, 39.863498, 39.863487, 39.863485, 39.86349, 39.863492, 39.859889, 39.856274, 39.856276, 39.856273, 39.856263, 39.856298, 39.856313, 39.856363, 39.856379, 39.856419, 39.859948, 39.860436)))"
