GEOID,car_access,transit_access,ratio
08001008801,114403,1428,0.012482190152356144
08001007801,296323,1536,0.005183532834103327
08059012039,47884,283,0.005910116113942027
08031004103,454352,331,7.285100538789309e-4
08031004201,443047,1074,0.002424122045742325
08005087000,219944,1547,0.007033608554904885
08031004002,408205,447,0.001095038032361191
08005082400,266665,478,0.00179251120319502
08005005635,218624,1108,0.00506806206088993
08059010210,63141,190,0.003009138277822651
08059011805,368445,2897,0.007862774633934509
08031002703,475238,11962,0.02517054612636195
08005085000,215794,1598,0.007405210524852405
08005007704,158034,96,6.074642165609933e-4
08005084200,98365,374,0.003802165404361307
08005084000,148651,513,0.003451036319970939
08059012049,76736,259,0.003375208507089241
08031004503,347902,184,5.288845709423919e-4
08005006601,241672,1237,0.00511850772948459
08005083400,77680,615,0.007917095777548918
08059009832,216042,1196,0.0055359606002536544
08059011701,188325,3916,0.020793840435417495
08059010604,336213,1420,0.004223513070583232
08005081100,264881,5067,0.019129344875623393
08014031000,72230,620,0.008583690987124463
08001008546,61450,267,0.00434499593165175
08005080200,277462,1879,0.006772098521599354
08031015400,417070,2204,0.005284484618888916
08031002802,505979,3446,0.006810559331513758
08031008391,44799,74,0.0016518225853255652
08031004202,431564,1058,0.002451548321917491
08001008100,207265,27196,0.13121366366728585
08059011730,98967,156,0.0015762830034253843
08001008508,70734,620,0.00876523312692623
08014030400,46514,290,0.006234682031216408
08005005631,205988,539,0.0026166572810066607
08005083000,19188,149,0.007765269960391912
08031002402,449563,4116,0.00915555773050718
08005006711,275998,1667,0.0060398988398466654
08001008526,83749,3672,0.0438452996453689
08001009325,117438,3139,0.02672899742843032
08031001102,541635,4698,0.008673737849289652
08001009327,136207,57,4.1848069482478873e-4
08005084500,152347,181,0.001188077218455237
08031980100,205003,12508,0.06101374126232299
08005084100,94490,194,0.0020531273150597947
08035014113,188717,281,0.001489002050689657
08031004405,205891,5346,0.025965195176088317
08005085400,63177,785,0.012425407980752489
08005080300,359188,4592,0.012784391460739224
08031006813,251349,1594,0.00634177975643428
08031015500,480225,2986,0.006217918683950232
08059011602,384703,1856,0.004824500978677058
08031004506,394985,889,0.002250718381710698
08031005300,509677,5749,0.011279692825063716
08093000400,131,131,1
08093000200,0,213,Inf
08031001902,490910,6343,0.012920901998329633
08031008305,125830,47,3.7351982833982354e-4
08001009306,318203,466,0.0014644739364493735
08059011550,398330,2670,0.006702984962217257
08059011951,54899,105,0.0019126031439552632
08031001901,481784,6049,0.01255541902595354
08031012001,130189,182,0.001397967570224827
08031003003,521107,704,0.0013509701462463563
08031005102,440907,1366,0.003098159022197425
08001009309,291235,227,7.794392844266657e-4
08035014110,164287,931,0.0056669121719916974
08001008549,71737,77,0.0010733652090274197
08005005800,392992,1379,0.003508977281980295
08059011401,429160,1382,0.003220244197968124
08031004304,378005,1611,0.004261848388248833
08031004303,477675,1107,0.0023174752708431464
08059010504,138942,795,0.005721811979099193
08059011202,369042,2765,0.007492372141924226
08059010701,335721,715,0.0021297446391497703
08059012054,98342,3951,0.040176120070773425
08005005628,263874,1132,0.0042899262526812035
08005005700,488383,4034,0.00825991076675478
08005006200,213210,3077,0.014431780873317387
08005006708,240518,1298,0.005396685487156886
08005007703,256366,598,0.0023326026072100045
08001009501,334263,883,0.0026416324869937744
08001009607,152318,3298,0.02165207001142347
08035014300,0,109,Inf
08059012047,75714,324,0.004279261431175212
08005006502,149485,3722,0.024898819279526373
08031004504,344975,149,4.3191535618523083e-4
08031008306,204530,241,0.0011783112501833472
08001009502,162734,2490,0.015301043420551328
08031001401,418751,3634,0.008678188231192284
08014980100,66267,0,0
08005085700,110289,443,0.0040167197091278365
08005006712,349973,28228,0.08065765073305654
08059011300,368442,730,0.001981315919466293
08059012059,82980,348,0.004193781634128706
08005081500,173004,1463,0.008456451873945111
08031002701,480522,43081,0.08965458397326241
08031004700,188934,623,0.0032974477859993435
08005006100,389182,590,0.001516000226115288
08005080500,313868,1695,0.005400359386748569
08059010212,145821,960,0.0065834139115765215
08031003601,449296,631,0.0014044193582849614
08001009326,21526,343,0.01593421908389854
08001009603,215936,1362,0.006307424422050978
08005005614,231738,974,0.004203022378720797
08001007802,259537,726,0.002797289018521444
08059012060,58334,103,0.0017656941063530702
08005006858,425327,24441,0.057464021799697645
08001009101,120104,349,0.0029058149603676813
08031007037,220084,1223,0.005556969157230875
08005084800,68159,78,0.0011443829868395957
08005082800,116870,324,0.002772311114914007
08001008709,381985,15401,0.04031833710747804
08035014124,73384,374,0.005096478796467895
08001008524,75846,675,0.00889961237243889
08031001302,480432,2031,0.004227445299230692
08014030000,101702,703,0.0069123517728264935
08059009847,1560,904,0.5794871794871795
08005082700,131380,431,0.003280560207033034
08001009410,104805,292,0.0027861266160965604
08001009604,177116,2046,0.011551751394566273
08031002403,436790,2352,0.005384738661599396
08001008548,34341,95,0.002766372557584229
08001009408,92485,2116,0.02287938584635346
08014030800,75940,1097,0.014445614959178298
08031000303,490018,1747,0.0035651751568309734
08005087100,225996,1585,0.007013398467229508
08059011723,151861,2378,0.015659056637319653
08035014129,67269,215,0.003196123028438062
08001008200,163478,2979,0.018222635461652332
08001009608,239084,923,0.003860567833899383
08059012044,32800,1349,0.04112804878048781
08059011729,98883,1308,0.013227754012317587
08031004004,463286,343,7.403634040312032e-4
08031000102,456609,2129,0.004662632580610544
08005007201,261139,524,0.002006594189301483
08031004301,417088,9145,0.021925828602117538
08005006713,306600,6207,0.020244618395303327
08059011804,159228,821,0.005156128319139849
08005085600,128356,232,0.0018074729658138302
08005007301,235519,682,0.002895732403755111
08014030300,88070,2875,0.03264448733961622
08059012051,89858,960,0.01068352289167353
08005007600,233397,956,0.004096025227402237
08035014114,205709,2931,0.014248282768376688
08059009831,134274,3201,0.0238393136422539
08005086900,280594,1820,0.006486239905343664
08001009409,92843,566,0.006096313130769148
08059012052,74152,488,0.006581076707303916
08031005001,336056,1168,0.003475611207655867
08001009207,144291,254,0.0017603315522104635
08019014700,647,647,1
08031002901,585105,6869,0.011739773203100299
08031000905,507999,223,4.389772420811852e-4
08059011720,23,1520,66.08695652173913
08031001800,554981,12182,0.02195030100129554
08031001600,454631,13100,0.02881457709659042
08059009833,99261,603,0.006074893462689274
08001009606,298240,595,0.0019950375536480686
08059010306,102018,847,0.008302456429257582
08059980000,3169,3169,1
08059010902,256834,5625,0.021901305901866574
08001008706,162224,675,0.004160913305059671
08031006811,295697,2179,0.007369029783866593
08031000701,477663,681,0.0014256913346857513
08031003402,536817,1078,0.0020081331254412586
08031003702,445591,1918,0.0043043957351023695
08031000401,488683,567,0.0011602613555208592
08059012042,46147,594,0.012871909333217761
08005005626,240659,1948,0.008094440681628363
08005086200,41093,691,0.016815516024627067
08005004951,316867,777,0.002452132913809264
08035014115,174593,551,0.003155911176278545
08031002601,442135,31617,0.07150983296956812
08019014900,1979,1979,1
08031000702,518382,1426,0.0027508671211577563
08059010901,123045,4233,0.034402048031208096
08031004505,427306,772,0.0018066678211866906
