from_id,percentile,cutoff,accessibility
08001008801,50,15,1583
08001007801,50,15,6058
08059012039,50,15,1366
08031004103,50,15,4099
08031004201,50,15,8116
08005087000,50,15,7389
08031004002,50,15,17121
08005082400,50,15,2542
08005005635,50,15,4789
08059010210,50,15,1762
08059011805,50,15,11957
08031002703,50,15,88816
08005085000,50,15,1608
08005007704,50,15,2402
08005084200,50,15,711
08005084000,50,15,2230
08059012049,50,15,2099
08031004503,50,15,4884
08005006601,50,15,9334
08005083400,50,15,1347
08059009832,50,15,2799
08059011701,50,15,8684
08059010604,50,15,4125
08005081100,50,15,7594
08014031000,50,15,2159
08001008546,50,15,1336
08005080200,50,15,15384
08031015400,50,15,6409
08031002802,50,15,55769
08031008391,50,15,331
08031004202,50,15,3902
08001008100,50,15,31822
08059011730,50,15,1802
08001008508,50,15,1968
08014030400,50,15,1937
08005005631,50,15,6818
08005083000,50,15,149
08031002402,50,15,137478
08005006711,50,15,21840
08001008526,50,15,3681
08001009325,50,15,7562
08031001102,50,15,51059
08001009327,50,15,4457
08005084500,50,15,1857
08031980100,50,15,12508
08005084100,50,15,1689
08035014113,50,15,1295
08031004405,50,15,6491
08005085400,50,15,1938
08005080300,50,15,17278
08031006813,50,15,10067
08031015500,50,15,32579
08059011602,50,15,9648
08031004506,50,15,8010
08031005300,50,15,17624
08093000400,50,15,131
08093000200,50,15,213
08031001902,50,15,71611
08031008305,50,15,626
08001009306,50,15,2175
08059011550,50,15,14524
08059011951,50,15,613
08031001901,50,15,9443
08031012001,50,15,351
08031003003,50,15,22358
08031005102,50,15,20411
08001009309,50,15,1954
08035014110,50,15,2181
08001008549,50,15,816
08005005800,50,15,23423
08059011401,50,15,8383
08031004304,50,15,10697
08031004303,50,15,28171
08059010504,50,15,7139
08059011202,50,15,14560
08059010701,50,15,12510
08059012054,50,15,6198
08005005628,50,15,3438
08005005700,50,15,20746
08005006200,50,15,11145
08005006708,50,15,5237
08005007703,50,15,9176
08001009501,50,15,2289
08001009607,50,15,6558
08035014300,50,15,109
08059012047,50,15,2051
08005006502,50,15,11925
08031004504,50,15,3212
08031008306,50,15,2194
08001009502,50,15,3231
08031001401,50,15,10941
08014980100,50,15,0
08005085700,50,15,1716
08005006712,50,15,29308
08059011300,50,15,8259
08059012059,50,15,1279
08005081500,50,15,1603
08031002701,50,15,113513
08031004700,50,15,1920
08005006100,50,15,17448
08005080500,50,15,7020
08059010212,50,15,8449
08031003601,50,15,21697
08001009326,50,15,343
08001009603,50,15,5795
08005005614,50,15,2989
08001007802,50,15,34257
08059012060,50,15,782
08005006858,50,15,25005
08001009101,50,15,5262
08031007037,50,15,1697
08005084800,50,15,707
08005082800,50,15,1875
08001008709,50,15,15403
08035014124,50,15,2152
08001008524,50,15,1302
08031001302,50,15,18590
08014030000,50,15,6584
08059009847,50,15,904
08005082700,50,15,1691
08001009410,50,15,7803
08001009604,50,15,4692
08031002403,50,15,134590
08001008548,50,15,682
08001009408,50,15,3743
08014030800,50,15,5956
08031000303,50,15,17689
08005087100,50,15,10958
08059011723,50,15,5997
08035014129,50,15,2755
08001008200,50,15,26030
08001009608,50,15,7903
08059012044,50,15,1349
08059011729,50,15,2072
08031004004,50,15,3895
08031000102,50,15,8746
08005007201,50,15,12392
08031004301,50,15,22882
08005006713,50,15,11207
08059011804,50,15,2928
08005085600,50,15,1774
08005007301,50,15,29949
08014030300,50,15,4939
08059012051,50,15,2963
08005007600,50,15,18320
08035014114,50,15,3708
08059009831,50,15,4416
08005086900,50,15,4697
08001009409,50,15,7317
08059012052,50,15,2195
08031005001,50,15,17336
08001009207,50,15,2624
08019014700,50,15,647
08031002901,50,15,25755
08031000905,50,15,5398
08059011720,50,15,1528
08031001800,50,15,80921
08031001600,50,15,59274
08059009833,50,15,2509
08001009606,50,15,7368
08059010306,50,15,4440
08059980000,50,15,3353
08059010902,50,15,17987
08001008706,50,15,1535
08031006811,50,15,12447
08031000701,50,15,6031
08031003402,50,15,21327
08031003702,50,15,40189
