from_id,percentile,cutoff,accessibility
08001008801,50,15,114403
08001007801,50,15,296323
08059012039,50,15,47884
08031004103,50,15,454352
08031004201,50,15,443047
08005087000,50,15,219944
08031004002,50,15,408205
08005082400,50,15,266665
08005005635,50,15,218624
08059010210,50,15,63141
08059011805,50,15,368445
08031002703,50,15,475238
08005085000,50,15,215794
08005007704,50,15,158034
08005084200,50,15,98365
08005084000,50,15,148651
08059012049,50,15,76736
08031004503,50,15,347902
08005006601,50,15,241672
08005083400,50,15,77680
08059009832,50,15,216042
08059011701,50,15,188325
08059010604,50,15,336213
08005081100,50,15,264881
08014031000,50,15,72230
08001008546,50,15,61450
08005080200,50,15,277462
08031015400,50,15,417070
08031002802,50,15,505979
08031008391,50,15,44799
08031004202,50,15,431564
08001008100,50,15,207265
08059011730,50,15,98967
08001008508,50,15,70734
08014030400,50,15,46514
08005005631,50,15,205988
08005083000,50,15,19188
08031002402,50,15,449563
08005006711,50,15,275998
08001008526,50,15,83749
08001009325,50,15,117438
08031001102,50,15,541635
08001009327,50,15,136207
08005084500,50,15,152347
08031980100,50,15,205003
08005084100,50,15,94490
08035014113,50,15,188717
08031004405,50,15,205891
08005085400,50,15,63177
08005080300,50,15,359188
08031006813,50,15,251349
08031015500,50,15,480225
08059011602,50,15,384703
08031004506,50,15,394985
08031005300,50,15,509677
08093000400,50,15,131
08093000200,50,15,0
08031001902,50,15,490910
08031008305,50,15,125830
08001009306,50,15,318203
08059011550,50,15,398330
08059011951,50,15,54899
08031001901,50,15,481784
08031012001,50,15,130189
08031003003,50,15,521107
08031005102,50,15,440907
08001009309,50,15,291235
08035014110,50,15,164287
08001008549,50,15,71737
08005005800,50,15,392992
08059011401,50,15,429160
08031004304,50,15,378005
08031004303,50,15,477675
08059010504,50,15,138942
08059011202,50,15,369042
08059010701,50,15,335721
08059012054,50,15,98342
08005005628,50,15,263874
08005005700,50,15,488383
08005006200,50,15,213210
08005006708,50,15,240518
08005007703,50,15,256366
08001009501,50,15,334263
08001009607,50,15,152318
08035014300,50,15,0
08059012047,50,15,75714
08005006502,50,15,149485
08031004504,50,15,344975
08031008306,50,15,204530
08001009502,50,15,162734
08031001401,50,15,418751
08014980100,50,15,66267
08005085700,50,15,110289
08005006712,50,15,349973
08059011300,50,15,368442
08059012059,50,15,82980
08005081500,50,15,173004
08031002701,50,15,480522
08031004700,50,15,188934
08005006100,50,15,389182
08005080500,50,15,313868
08059010212,50,15,145821
08031003601,50,15,449296
08001009326,50,15,21526
08001009603,50,15,215936
08005005614,50,15,231738
08001007802,50,15,259537
08059012060,50,15,58334
08005006858,50,15,425327
08001009101,50,15,120104
08031007037,50,15,220084
08005084800,50,15,68159
08005082800,50,15,116870
08001008709,50,15,381985
08035014124,50,15,73384
08001008524,50,15,75846
08031001302,50,15,480432
08014030000,50,15,101702
08059009847,50,15,1560
08005082700,50,15,131380
08001009410,50,15,104805
08001009604,50,15,177116
08031002403,50,15,436790
08001008548,50,15,34341
08001009408,50,15,92485
08014030800,50,15,75940
08031000303,50,15,490018
08005087100,50,15,225996
08059011723,50,15,151861
08035014129,50,15,67269
08001008200,50,15,163478
08001009608,50,15,239084
08059012044,50,15,32800
08059011729,50,15,98883
08031004004,50,15,463286
08031000102,50,15,456609
08005007201,50,15,261139
08031004301,50,15,417088
08005006713,50,15,306600
