GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,total_emp,basic_emp,retail_emp,service_emp
08001008801,56,5160,1538,267,804,416,1487,332,278,1428,1124,82,222
08001007801,394,4215,1422,525,645,173,1343,434,283,480,22,27,431
08059012039,56,5417,2038,144,522,1318,1984,392,664,283,53,25,205
08031004103,85,5593,2297,122,528,1591,2241,462,883,330,73,25,232
08031004201,148,4979,2022,151,419,1385,1955,508,683,1074,104,138,832
08005087000,185,5264,2273,294,1025,870,2189,910,619,1547,23,846,678
08031004002,9,3525,1433,86,335,920,1341,269,555,447,44,5,398
08005082400,63,4335,1542,289,587,565,1441,355,446,477,42,93,342
08005005635,181,4989,2052,183,583,1219,1985,612,727,1108,64,6,1038
08059010210,80,3662,1506,81,544,830,1455,333,579,190,89,3,98
08059011805,229,5996,3061,487,1176,1282,2945,1229,1110,2897,118,866,1913
08031002703,681,5217,3820,913,1715,1008,3636,2429,1028,881,29,200,652
08005085000,0,2088,890,55,220,551,826,141,360,1598,24,472,1102
08005007704,91,5100,2047,315,1052,528,1895,593,464,96,0,0,96
08005084200,17,3760,1339,63,617,609,1289,172,428,374,25,57,292
08005084000,15,2640,767,24,261,475,760,106,242,505,44,201,260
08059012049,28,3921,1405,32,289,1084,1405,142,600,259,51,36,172
08031004503,124,4390,1440,420,704,248,1372,452,166,178,28,10,140
08005006601,200,5830,2809,609,1226,785,2620,1033,881,1236,325,183,728
08005083400,35,7275,2210,74,894,1242,2210,354,516,615,213,56,346
08059009832,21,2653,975,66,363,541,970,227,313,1196,21,480,695
08059011701,86,4599,2073,191,728,1091,2010,599,796,3916,147,652,3117
08059010604,59,2435,1084,129,508,390,1027,330,382,1385,98,452,835
08005081100,369,6289,2674,560,1383,555,2498,923,709,5067,305,2382,2380
08014031000,10,5731,2249,132,603,1478,2213,609,659,620,46,202,372
08001008546,50,3926,1344,61,420,809,1290,291,342,267,34,34,199
08005080200,117,6439,2265,213,643,1333,2189,475,772,1879,61,751,1067
08031015400,150,4868,1727,328,565,756,1649,555,611,2199,49,51,2099
08031002802,300,4060,3032,404,1272,965,2641,1831,493,3322,917,222,2183
08031008391,43,7315,2473,101,1022,1246,2369,384,826,74,50,0,24
08031004202,42,4567,1743,101,310,1236,1647,373,600,1053,96,47,910
08001008100,64,1574,845,244,280,184,708,368,236,27196,75,13,27108
08059011730,56,3388,1742,220,917,475,1612,592,532,156,52,14,90
08001008508,70,5672,1937,166,688,1061,1915,450,577,620,83,48,489
08014030400,0,3998,1369,74,222,1073,1369,193,465,290,56,48,186
08005005631,8,3324,1242,44,335,854,1233,176,529,539,64,218,257
08005083000,11,3750,1266,61,337,838,1236,159,475,149,59,5,85
08031002402,183,2034,956,188,251,439,878,279,386,615,27,164,424
08005006711,9,4225,1521,18,298,1134,1450,144,614,1667,249,238,1180
08001008526,84,6915,2760,258,748,1621,2627,650,990,3672,2339,652,681
08001009325,98,5515,2548,213,908,1300,2421,632,1141,3139,811,25,2303
08031001102,146,4799,2513,312,636,1401,2349,1050,836,4462,1213,481,2768
08001009327,61,4435,1581,312,484,719,1515,400,418,57,15,11,31
08005084500,46,2994,1236,79,567,512,1158,263,488,180,17,0,163
08031980100,0,0,0,0,0,0,0,0,0,12508,8692,309,3507
08005084100,35,4623,1606,195,617,761,1573,257,599,193,31,5,157
08035014113,16,3179,1031,30,163,838,1031,95,362,281,36,64,181
08031004405,516,8976,4188,501,1204,2294,3999,1497,1123,5346,124,131,5091
08005085400,20,4723,1444,8,166,1244,1418,91,474,784,26,277,481
08005080300,131,5626,2342,247,932,1126,2305,744,768,4592,281,119,4192
08031006813,372,4293,2584,389,1414,613,2416,1299,746,1594,28,277,1289
08031015500,202,3576,1988,264,1006,559,1829,816,682,2926,1502,170,1254
08059011602,166,4409,1742,303,748,602,1653,484,440,1825,30,689,1106
08031004506,99,3795,1196,424,483,232,1139,220,345,674,8,28,638
08031005300,195,1547,838,176,315,279,770,395,230,5749,1113,373,4263
08093000400,25,1378,3639,43,250,323,616,125,418,131,49,7,75
08093000200,0,3836,1939,115,490,847,1452,255,858,213,91,33,89
08031001902,0,778,66,0,16,22,38,15,23,4807,428,6,4373
08031008305,37,4792,1082,215,413,424,1052,113,184,41,22,0,19
08001009306,52,3588,1243,104,668,471,1243,354,322,394,27,81,286
08059011550,480,6491,3227,741,1523,762,3026,1142,1085,2670,932,361,1377
08059011951,22,3409,1586,138,544,750,1432,407,550,105,28,0,77
08031001901,334,3346,1290,522,400,316,1238,504,361,6049,4085,129,1835
08031012001,44,1977,957,164,236,511,911,313,354,182,15,0,167
08031003003,81,3346,1223,142,444,541,1127,434,486,704,59,58,587
08031005102,17,3519,1639,198,439,876,1513,462,581,808,79,84,645
08001009309,151,4268,1626,399,663,564,1626,549,461,226,25,21,180
08035014110,122,5716,2420,223,864,1282,2369,705,747,931,72,133,726
08001008549,8,4022,1295,78,411,806,1295,188,454,77,27,0,50
