route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
0,RTD,0,South Broadway,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
0L,RTD,0L,South Broadway Limited,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
1,RTD,1,West 1st Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
10,RTD,10,East 12th Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
100,RTD,100,Kipling Street,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
101D,RTD,D,18th & California Station to Littleton-Mineral Station,This Route Travels Northbound & Southbound,0,http://www.rtd-denver.com/Schedules.shtml,008348,FFFFFF
101E,RTD,E,Union Station to RidgeGate Parkway Station,This Route Travels Northbound & Southbound,0,http://www.rtd-denver.com/Schedules.shtml,552683,FFFFFF
101H,RTD,H,18th & California Station to Florida Station,This Route Travels Northbound & Southbound,0,http://www.rtd-denver.com/Schedules.shtml,0075BE,FFFFFF
103W,RTD,W,Union Station to Jefferson County Government Center-Golden Station,This Route Travels Eastbound & Westbound,0,http://www.rtd-denver.com/Schedules.shtml,009DAA,FFFFFF
104L,RTD,104L,Wagon Road / Denver Airport Limited,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
105,RTD,105,Havana Street,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
107R,RTD,R,Lincoln Station to Peoria Station,This Route Travels Northbound & Southbound,0,http://www.rtd-denver.com/Schedules.shtml,C4D600,000000
109L,RTD,L,30th & Downing to 16th & Stout,This Route Travels Northbound & Southbound,0,http://www.rtd-denver.com/Schedules.shtml,FFCE00,000000
11,RTD,11,Mississippi Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
112,RTD,112,West 112th Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
113B,RTD,B,Union Station to Westminster Station,This Route Travels Eastbound & Westbound,2,http://www.rtd-denver.com/Schedules.shtml,4E9D2D,FFFFFF
113G,RTD,G,Union Station to Wheat Ridge Ward Station,This Route Travels Eastbound & Westbound,2,http://www.rtd-denver.com/Schedules.shtml,F6B221,FFFFFF
116X,RTD,116X,South Simms Express,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF
117N,RTD,N,Union Station to Eastlake & 124th Station,This Route Travels Northbound & Southbound,2,http://www.rtd-denver.com/Schedules.shtml,9F26B5,FFFFFF
12,RTD,12,Downing / N Washington,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
120E,RTD,120E,120th Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
120L,RTD,120L,120th Avenue Limited,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
120W,RTD,120W,120th Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
120X,RTD,120X,Wagon Road / Thornton Express,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF
121,RTD,121,Peoria Street,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
130,RTD,130,Yale / Buckley,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
133,RTD,133,Hampden/Tower,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
135,RTD,135,Smoky Hill Road,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
139,RTD,139,Quincy Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
14,RTD,14,West Florida Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
