stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
26157,26157,40th Ave & Airport Blvd-Gateway Park Stn Gate D,Vehicles Travelling West,39.770084,-104.786985,26157,,0,33740,,1
33820,33820,Longmont,Vehicles Travelling North,40.149505,-105.103068,,,1,,,0
33835,33835,Paradise Hills,Vehicles Travelling North,39.704446,-105.250268,,,1,,,0
24890,24890,Englewood Station,Vehicles Travelling North,39.655904,-104.999736,B,,0,33712,,1
34118,34118,20th St / Welton Station,Vehicles Travelling North,39.748163,-104.986671,,,1,,,0
34313,34313,Union Station Gate B15,Vehicles Travelling Southeast,39.754647,-105.001853,34313,,0,33727,,1
24591,24591,Downtown Boulder Station Gate F,Vehicles Travelling South,40.01698,-105.27697,24591,,0,33700,,1
18960,18960,9th Ave & Clermont St,Vehicles Travelling East,39.730958,-104.936055,18960,,0,,,1
25619,25619,Miller Dr & Pike Rd,Vehicles Travelling South,40.13926,-105.128752,25619,,0,,,1
34578,34578,Florida Station,Vehicles Travelling South,39.689534,-104.828474,C,,0,34679,,1
13960,13960,Thornton Crossroads & 104th Station Gate F,Vehicles Travelling South,39.882055,-104.942018,13960,,0,35365,,1
10158,10158,120th Ave & Washington St,Vehicles Travelling West,39.914235,-104.979087,10158,,0,,,1
10168,10168,12th Ave & Grant St,Vehicles Travelling East,39.735227,-104.983287,10168,,0,,,1
10300,10300,W 17th Ave & Irving St,Vehicles Travelling East,39.743901,-105.029635,10300,,0,,,1
10321,10321,W 17th Ave & Sheridan Blvd,Vehicles Travelling East,39.743921,-105.052763,10321,,0,,,1
10789,10789,29th Ave & Richard Allen Ct,Vehicles Travelling West,39.758237,-104.942404,10789,,0,,,1
10873,10873,W 32nd Ave & Eliot St,Vehicles Travelling East,39.76197,-105.022594,10873,,0,,,1
10933,10933,W 32nd Ave & Zuni St,Vehicles Travelling East,39.761969,-105.015369,10933,,0,,,1
10974,10974,W 38th Ave & Brentwood St,Vehicles Travelling West,39.76944,-105.089886,10974,,0,,,1
11017,11017,W 38th Ave & Miller St,Vehicles Travelling West,39.769333,-105.11505,11017,,0,,,1
11155,11155,W 44th Ave & Knox Ct,Vehicles Travelling East,39.77665,-105.031723,11155,,0,,,1
11204,11204,W 44th Ave & Yarrow St,Vehicles Travelling West,39.776679,-105.084197,11204,,0,,,1
11232,11232,47th Ave & Havana St,Vehicles Travelling West,39.782496,-104.866336,11232,,0,,,1
11241,11241,47th Ave & Lima St,Vehicles Travelling East,39.782318,-104.856265,11241,,0,,,1
11278,11278,48th Ave & Dahlia St,Vehicles Travelling West,39.783502,-104.932022,11278,,0,,,1
11341,11341,W 50th Ave & Lowell Blvd,Vehicles Travelling East,39.787375,-105.034151,11341,,0,,,1
12044,12044,Alameda Ave & S Moline St,Vehicles Travelling East,39.711015,-104.854267,12044,,0,,,1
12058,12058,Alameda Ave & S Olive Way,Vehicles Travelling West,39.711437,-104.906845,12058,,0,,,1
12220,12220,Arapahoe Ave & 48th St,Vehicles Travelling West,40.014857,-105.235411,12220,,0,,,1
12239,12239,Arapahoe Ave & MacArthur Dr,Vehicles Travelling West,40.014875,-105.237901,12239,,0,,,1
12418,12418,W Bowles Ave & S Platte Canyon Rd,Vehicles Travelling East,39.609458,-105.036598,12418,,0,,,1
12653,12653,California St & 25th St,Vehicles Travelling Southwest,39.753465,-104.981579,12653,,0,,,1
12866,12866,Colfax Ave & Cook St,Vehicles Travelling West,39.740237,-104.948043,12866,,0,,,1
12914,12914,W Colfax Ave & Kendall St,Vehicles Travelling West,39.74042,-105.066489,12914,,0,,,1
12931,12931,W Colfax Ave & Miller St,Vehicles Travelling West,39.740334,-105.11377,12931,,0,,,1
13032,13032,Collyer St & 19th Ave,Vehicles Travelling South,40.191898,-105.098164,13032,,0,,,1
13282,13282,W Dartmouth Ave & S Lamar St,Vehicles Travelling East,39.659714,-105.06744,13282,,0,,,1
13386,13386,Downing St & 8th Ave,Vehicles Travelling North,39.729301,-104.972894,13386,,0,,,1
13605,13605,Evans Ave & S Milwaukee St,Vehicles Travelling West,39.678522,-104.952638,13605,,0,,,1
13665,13665,W Exposition Ave & S Irving St,Vehicles Travelling East,39.703967,-105.02929,13665,,0,,,1
13684,13684,W Exposition Ave & S Vallejo St,Vehicles Travelling West,39.703992,-105.013768,13684,,0,,,1
13790,13790,S Federal Blvd & W Belleview Ave,Vehicles Travelling South,39.623469,-105.025645,13790,,0,,,1
14250,14250,Havana St & 8th Ave,Vehicles Travelling North,39.72952,-104.865789,14250,,0,,,1
14259,14259,S Havana St & Dartmouth Ave,Vehicles Travelling South,39.659843,-104.866493,14259,,0,,,1
14681,14681,W Jewell Ave & S Oak St,Vehicles Travelling West,39.682196,-105.118349,14681,,0,,,1
14724,14724,Stout St & W Colfax Ave,Vehicles Travelling Northeast,39.740646,-104.999836,14724,,0,,,1
14817,14817,Kipling St & W 38th Ave,Vehicles Travelling South,39.768445,-105.109776,14817,,0,,,1
15186,15186,Manhattan Dr & Kewanee Dr,Vehicles Travelling North,39.992265,-105.228897,15186,,0,,,1
15279,15279,Maxwell Pl & Pensacola Dr,Vehicles Travelling Northwest,39.792562,-104.821427,15279,,0,,,1
15346,15346,Mississippi Ave & S Elizabeth St,Vehicles Travelling West,39.696613,-104.95613,15346,,0,,,1
15384,15384,Mississippi Ave & S Kalispell St,Vehicles Travelling West,39.69676,-104.802407,15384,,0,,,1
15557,15557,S Monaco Pkwy & Mississippi Ave,Vehicles Travelling North,39.697001,-104.912728,15557,,0,,,1
15617,15617,Moorhead Ave & Ash Ave,Vehicles Travelling Southeast,39.994903,-105.251047,15617,,0,,,1
15934,15934,S Peoria St & Ford Ave,Vehicles Travelling South,39.69976,-104.847298,15934,,0,,,1
16462,16462,Sheridan Blvd & W 26th Ave,Vehicles Travelling South,39.754509,-105.053374,16462,,0,,,1
16477,16477,Sheridan Blvd & W 48th Ave,Vehicles Travelling North,39.784289,-105.053117,16477,,0,,,1
16499,16499,Sheridan Blvd & W 72nd Ave,Vehicles Travelling North,39.827822,-105.053106,16499,,0,,,1
16510,16510,Sheridan Blvd & W 80th Ave,Vehicles Travelling North,39.842258,-105.053092,16510,,0,,,1
16583,16583,S Sheridan Blvd & W Yale Ave,Vehicles Travelling South,39.667034,-105.053399,16583,,0,,,1
16605,16605,Smith Rd & Holly St,Vehicles Travelling East,39.774258,-104.920806,16605,,0,,,1
16612,16612,Smith Rd & Magnolia St,Vehicles Travelling East,39.772937,-104.91155,16612,,0,,,1
16613,16613,Smith Rd & Monaco Pkwy,Vehicles Travelling West,39.77325,-104.913234,16613,,0,,,1
17054,17054,S Wadsworth Blvd & W Girton Ave,Vehicles Travelling North,39.656118,-105.081224,17054,,0,,,1
17061,17061,Wadsworth Blvd & Highland Dr,Vehicles Travelling South,39.728165,-105.081653,17061,,0,,,1
17077,17077,S Wadsworth Blvd & W Louisiana Ave,Vehicles Travelling South,39.692312,-105.081691,17077,,0,,,1
17081,17081,S Wadsworth Blvd & W Mexico Pl,Vehicles Travelling South,39.685531,-105.081563,17081,,0,,,1
17173,17173,Washington St & 50th Ave,Vehicles Travelling North,39.788097,-104.978225,17173,,0,,,1
17188,17188,Washington St & 64th Ave,Vehicles Travelling South,39.812507,-104.978187,17188,,0,,,1
17225,17225,Washington St & Muriel Dr,Vehicles Travelling South,39.896812,-104.977774,17225,,0,,,1
17408,17408,York St & 43rd Ave,Vehicles Travelling South,39.776174,-104.959478,17408,,0,,,1
17892,17892,Broadway & Pleasant St,Vehicles Travelling Northwest,40.009321,-105.275998,17892,,0,,,1
18324,18324,W 92nd Ave & Camenish St,Vehicles Travelling West,39.863581,-105.019956,18324,,0,,,1
18380,18380,S Chambers Rd & Dartmouth Ave,Vehicles Travelling North,39.660799,-104.809807,18380,,0,,,1
18791,18791,Chambers Rd & 13th Ave,Vehicles Travelling North,39.737643,-104.809884,18791,,0,,,1
18866,18866,Leetsdale Dr & S Forest St,Vehicles Travelling Northwest,39.708268,-104.927438,18866,,0,,,1
19039,19039,S University Blvd & Mineral Ave,Vehicles Travelling North,39.574318,-104.960255,19039,,0,,,1
19315,19315,Table Mesa Dr & Yale Rd,Vehicles Travelling Southwest,39.981545,-105.255469,19315,,0,,,1
19386,19386,Arapahoe Ave & Folsom St,Vehicles Travelling East,40.01453,-105.262526,19386,,0,,,1
19390,19390,Gillaspie Dr & Darley Ave,Vehicles Travelling Northwest,39.978846,-105.24943,19390,,0,,,1
19610,19610,S Chambers Rd & Hampden Ave,Vehicles Travelling South,39.652721,-104.810102,19610,,0,,,1
19624,19624,S Chambers Rd & Oxford Ave,Vehicles Travelling North,39.6424,-104.810015,19624,,0,,,1
19834,19834,W Kentucky Ave & S Yates St,Vehicles Travelling West,39.700488,-105.051836,19834,,0,,,1
20006,20006,South Boulder Rd & Edessa Dr,Vehicles Travelling East,39.986894,-105.113382,20006,,0,,,1
20359,20359,Arapahoe Rd & Willow Creek Dr,Vehicles Travelling West,40.014688,-105.166625,20359,,0,,,1
20593,20593,72nd Ave & Brighton Blvd,Vehicles Travelling East,39.827141,-104.928566,20593,,0,,,1
21128,21128,W 112th Ave & Stuart St,Vehicles Travelling East,39.89958,-105.041909,21128,,0,,,1
21463,21463,W 38th Ave & Wyandot St,Vehicles Travelling West,39.769359,-105.014369,21463,,0,,,1
21505,21505,Arapahoe Rd & S Lima St,Vehicles Travelling West,39.595182,-104.857947,21505,,0,,,1
21795,21795,S Colorado Blvd & Cherry Creek N Dr,Vehicles Travelling South,39.706876,-104.940926,21795,,0,,,1
22078,22078,Smith Rd & Poplar St,Vehicles Travelling East,39.772027,-104.90517,22078,,0,,,1
22088,22088,56th Ave & Monaco St,Vehicles Travelling East,39.798272,-104.913102,22088,,0,,,1
22167,22167,13000 Block Colorado Blvd,Vehicles Travelling North,39.931522,-104.940178,22167,,0,,,1
