route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
0,SA,113997880,Union Station,0,   0  4,1198825
0,SA,113997881,Union Station,0,   0 10,1198825
0,SA,113997882,Union Station,0,   0  6,1198825
0,SA,113997883,Union Station,0,   0  6,1198825
0,SA,113997884,Union Station,0,   0  2,1198832
0,SA,113997885,Union Station,0,   0  1,1198825
0,SA,113997886,Union Station,0,   0 11,1198825
0,SA,113997887,Union Station,0,   0  7,1198823
0,SA,113997888,Union Station,0,   0  9,1198844
0,SA,113997889,Union Station,0,   0 12,1198844
0,SA,113997890,Union Station,0,   0  7,1198825
0,SA,113997891,Union Station,0,   0  7,1198844
0,SA,113997892,Union Station,0,   0  3,1198844
0,SA,113997893,Union Station,0,   0  3,1198832
0,SA,113997894,Union Station,0,   0  6,1198844
0,SA,113997895,Union Station,0,   0  7,1198844
0,SA,113997896,Union Station,0,   0 12,1198844
0,SA,113997897,Union Station,0,   0  1,1198844
0,SA,113997898,Union Station,0,   0 12,1198833
0,SA,113997899,Union Station,0,   0  4,1198825
0,SA,113997900,Union Station,0,   0  6,1198844
0,SA,113997901,Union Station,0,   0  9,1198844
0,SA,113997902,Union Station,0,   0  2,1198823
0,SA,113997903,Union Station,0,   0 10,1198844
0,SA,113997904,Union Station,0,   0  8,1198825
0,SA,113997905,Union Station,0,   0  9,1198825
0,SA,113997906,Union Station,0,   0  1,1198825
0,SA,113997907,Union Station,0,   0 12,1198825
0,SA,113997908,Union Station,0,   0 11,1198825
0,SA,113997909,Union Station,0,   0  9,1198823
0,SA,113997910,Union Station,0,   0  5,1198825
0,SA,113997911,Union Station,0,   0  5,1198825
0,SA,113997912,Union Station,0,   0  1,1198825
0,SA,113997913,Union Station,0,   0  7,1198844
0,SA,113997914,Union Station,0,   0  2,1198844
0,SA,113997915,Union Station,0,   0  3,1198844
0,SA,113997916,Union Station,0,   0  4,1198844
0,SA,113997917,Union Station,0,   0  3,1198825
0,SA,113997918,Union Station,0,   0  9,1198825
0,SA,113997919,Union Station,0,   0  4,1198844
0,SA,113997920,Union Station,0,   0  2,1198844
0,SA,113997921,Union Station,0,   0  9,1198834
0,SA,113997922,Union Station,0,   0 10,1198833
0,SA,113997923,Union Station,0,   0  7,1198825
0,SA,113997924,Union Station,0,   0 10,1198844
0,SA,113997925,Union Station,0,   0  9,1198844
0,SA,113997926,Union Station,0,   0 11,1198825
0,SA,113997927,Union Station,0,   0  3,1198825
0,SA,113997928,Union Station,0,   0  6,1198825
0,SA,113997929,Union Station,0,   0 11,1198825
0,SA,113997930,Union Station,0,   0  4,1198823
0,SA,113997931,Union Station,0,   0  1,1198844
0,SA,113997932,Union Station,0,   0  8,1198834
0,SA,113997933,Union Station,0,   0 11,1198834
0,SA,113997934,Union Station,0,   0  5,1198844
0,SA,113997935,Union Station,0,   0  4,1198844
0,SA,113997936,Union Station,0,   0  3,1198832
0,SA,113997937,Union Station,0,   0  5,1198823
0,SA,113997938,Union Station,0,   0  2,1198825
0,SA,113997939,Union Station,0,   0  5,1198844
0,SA,113997940,Union Station,0,   0  8,1198825
0,SA,113997941,Union Station,0,   0  2,1198825
0,SA,113997942,Union Station,0,   0 11,1198844
0,SA,113997943,Union Station,0,   0 10,1198844
0,SA,113997944,Union Station,0,   0  2,1198844
0,SA,113997945,Union Station,0,   0  3,1198844
0,SA,113997946,Union Station,0,   0 10,1198825
0,SA,113997947,Union Station,0,   0 10,1198825
0,SA,113997948,Union Station,0,   0 11,1198844
0,SA,113997949,Union Station,0,   0  8,1198844
0,SA,113997950,Union Station,0,   0  6,1198844
0,SA,113997951,Union Station,0,   0  1,1198844
0,SA,113997952,Union Station,0,   0  4,1198834
0,SA,113997953,Union Station,0,   0  5,1198844
0,SA,113997954,Union Station,0,   0  7,1198825
0,SA,113997955,Highlands Ranch,1,   0  8,1198847
0,SA,113997956,Englewood Station,1,   0  4,1198865
0,SA,113997957,Highlands Ranch,1,   0 10,1198847
0,SA,113997958,Highlands Ranch,1,   0 11,1198847
0,SA,113997959,Broadway Stn,1,   0  2,1198859
0,SA,113997960,Highlands Ranch,1,   0  2,1198847
0,SA,113997961,Highlands Ranch,1,   0  6,1198847
0,SA,113997962,Englewood Station,1,   0  6,1198865
0,SA,113997963,Highlands Ranch,1,   0  8,1198847
0,SA,113997964,Highlands Ranch,1,   0 10,1198847
0,SA,113997965,Englewood Station,1,   0  8,1198865
0,SA,113997966,Englewood Station,1,   0  9,1198865
0,SA,113997967,Highlands Ranch,1,   0  7,1198847
0,SA,113997968,Highlands Ranch,1,   0 12,1198869
0,SA,113997969,Highlands Ranch,1,   0  1,1198847
0,SA,113997970,Broadway Stn,1,   0  9,1198859
0,SA,113997971,Highlands Ranch,1,   0  7,1198847
0,SA,113997972,Englewood Station,1,   0 12,1198865
0,SA,113997973,Highlands Ranch,1,   0  2,1198869
0,SA,113997974,Highlands Ranch,1,   0  9,1198847
0,SA,113997975,Highlands Ranch,1,   0  3,1198847
0,SA,113997976,Highlands Ranch,1,   0  9,1198847
0,SA,113997977,Highlands Ranch,1,   0  3,1198847
0,SA,113997978,Highlands Ranch,1,   0  6,1198847
0,SA,113997979,Broadway Stn,1,   0  5,1198859
0,SA,113997980,Englewood Station,1,   0 10,1198865
0,SA,113997981,Englewood Station,1,   0  2,1198865
0,SA,113997982,Englewood Station,1,   0  7,1198865
0,SA,113997983,Highlands Ranch,1,   0  9,1198847
0,SA,113997984,Highlands Ranch,1,   0  4,1198847
0,SA,113997985,Highlands Ranch,1,   0  1,1198847
0,SA,113997986,Highlands Ranch,1,   0 10,1198847
0,SA,113997987,Highlands Ranch,1,   0 11,1198847
0,SA,113997988,Highlands Ranch,1,   0 11,1198847
0,SA,113997989,Highlands Ranch,1,   0 12,1198847
0,SA,113997990,Englewood Station,1,   0  7,1198865
0,SA,113997991,Englewood Station,1,   0  6,1198865
0,SA,113997992,Englewood Station,1,   0 11,1198865
0,SA,113997993,Highlands Ranch,1,   0  1,1198847
0,SA,113997994,Highlands Ranch,1,   0  5,1198847
0,SA,113997995,Highlands Ranch,1,   0  4,1198847
0,SA,113997996,Highlands Ranch,1,   0  2,1198847
0,SA,113997997,Englewood Station,1,   0  5,1198865
0,SA,113997998,Englewood Station,1,   0  4,1198865
0,SA,113997999,Englewood Station,1,   0  2,1198865
0,SA,113998000,Englewood Station,1,   0  3,1198865
0,SA,113998001,Englewood Station,1,   0 11,1198865
0,SA,113998002,Broadway Stn,1,   0  3,1198859
0,SA,113998003,Highlands Ranch,1,   0  3,1198869
0,SA,113998004,Highlands Ranch,1,   0  7,1198847
0,SA,113998005,Highlands Ranch,1,   0  2,1198847
0,SA,113998006,Broadway Stn,1,   0  4,1198859
0,SA,113998007,Broadway Stn,1,   0 10,1198859
0,SA,113998008,Broadway Stn,1,   0 12,1198868
0,SA,113998009,Englewood Station,1,   0 11,1198865
0,SA,113998010,Englewood Station,1,   0 10,1198865
0,SA,113998011,Highlands Ranch,1,   0  5,1198847
0,SA,113998012,Englewood Station,1,   0  1,1198865
0,SA,113998013,Broadway Stn,1,   0  7,1198859
0,SA,113998014,Englewood Station,1,   0 11,1198863
0,SA,113998015,Highlands Ranch,1,   0  7,1198847
0,SA,113998016,Englewood Station,1,   0  9,1198865
0,SA,113998017,Broadway Stn,1,   0  1,1198868
0,SA,113998018,Highlands Ranch,1,   0  6,1198847
0,SA,113998019,Englewood Station,1,   0  6,1198865
0,SA,113998020,Englewood Station,1,   0  1,1198865
0,SA,113998021,Highlands Ranch,1,   0  4,1198869
0,SA,113998022,Englewood Station,1,   0  5,1198865
0,SA,113998023,Highlands Ranch,1,   0  5,1198847
0,SA,113998024,Englewood Station,1,   0  8,1198863
0,SA,113998025,Englewood Station,1,   0  3,1198865
0,SA,113998026,Englewood Station,1,   0  9,1198865
0,SA,113998027,Highlands Ranch,1,   0  5,1198847
0,SA,113998028,Englewood Station,1,   0  4,1198865
0,SU,113998029,Union Station,0,   0  2,1198844
0,SU,113998030,Union Station,0,   0  6,1198844
0,SU,113998031,Union Station,0,   0  2,1198844
